nr,Laminate,smax,smean
683,-0.12468642410321547,-0.036320920533475846,0.08985430232333651
668,-0.12468642410321547,0.31387227373772675,0.08985430232333651
3596,-0.12468642410321547,0.3570567393462372,0.36994671127195866
2978,-0.12468642410321547,0.29068320650690443,0.08985430232333651
959,-0.12468642410321547,-1.4754735178395866,-0.27737237588473856
443,-0.12468642410321547,1.2108721350043679,0.6342199616605628
3744,-0.12468642410321547,0.03649664556901941,0.08985430232333651
3777,4.469819385275877,0.01862596350781951,0.24361822041341183
473,-0.12468642410321547,1.2872892783636285,0.6601515770763432
569,-0.12468642410321547,1.2456053686324633,0.6460064380583497
1211,-0.12468642410321547,-1.493343806835016,-0.2834365316648064
912,-0.12468642410321547,0.12465270863617714,0.08985430232333651
684,-0.12468642410321547,-1.3089796415619879,-0.22087386025172798
983,-0.12468642410321547,-1.4772867376925611,-0.27798767917696643
288,-0.12468642410321547,0.13238911334220307,0.08985430232333651
16,-2.4219393287927615,1.2431273015000643,0.6451655235589715
841,-2.4219393287927615,-0.010371729748680723,0.08985430232333651
666,-0.12468642410321547,-1.2900012737675184,-0.21443368579307645
930,-0.12468642410321547,1.1489406035816503,0.6132039358793582
2830,-0.12468642410321547,0.995542204019981,0.08985430232333651
2200,-0.12468642410321547,1.0185499492655057,0.08985430232333651
2249,-0.12468642410321547,0.46995020930434783,0.08985430232333651
2399,-0.12468642410321547,0.31151508792885946,0.08985430232333651
3072,-0.12468642410321547,-1.397182713965585,0.08985430232333651
2990,-0.12468642410321547,0.2765602385409561,0.08985430232333651
754,-0.12468642410321547,1.2976649253000958,0.6636724792485359
2981,-0.12468642410321547,0.6724062793326137,0.08985430232333651
478,-0.12468642410321547,-1.5357328576201161,-0.29782095529644415
1836,-0.12468642410321547,1.0186103899272716,0.5689773025746697
1078,-0.12468642410321547,0.2111030018485653,0.08985430232333651
3334,-0.12468642410321547,0.7446027666638403,0.08985430232333651
2915,-0.12468642410321547,1.486723315303603,0.7278281025181598
664,-0.12468642410321547,1.3091486510356027,0.6675694000993123
562,-0.12468642410321547,0.27591553814878733,0.08985430232333651
3201,-0.12468642410321547,0.06985317530182719,0.2627401703625439
669,-0.12468642410321547,0.10249113265537389,0.08985430232333651
942,-0.12468642410321547,1.1487189878218422,0.6131287321436415
1986,-0.12468642410321547,1.2413543754216,0.7000348528082277
3935,4.469819385275877,-1.5457406308569945,-0.30121702213876245
3333,-0.12468642410321547,0.808955710358775,0.08985430232333651
1593,-0.12468642410321547,-1.6069118102930053,-0.32197502786801074
446,-0.12468642410321547,-1.1942632655304481,-0.18194567196344597
1162,-0.12468642410321547,0.03032498250697627,0.08985430232333651
902,-0.12468642410321547,0.035563173193347945,0.08985430232333651
3778,4.469819385275877,0.030035443330006906,0.2478771190429683
480,-0.12468642410321547,-1.50897779134511,-0.28874181338445987
1350,-0.12468642410321547,0.8256032100217302,0.5034816854686385
572,-0.12468642410321547,1.0350703968148318,0.5745628891274492
3017,-0.12468642410321547,0.3615196620964539,0.3459982261745437
3613,-0.12468642410321547,0.5202531485972803,0.4308642092245126
