Temperature,Fiber orientation,Fiber volume ,Youngs Modulus,Thickness,Width,Length,Max Stress,R,log(Nf)
-0.152415742,-1.025213905,0.615834385,-27.80118015,-0.762518966,-0.096254054,-0.306842061,0.615834385,-0.272674082,6.258186714
0.064575973,0.881653434,-1.788121644,-27.80118015,0.291521809,-0.08782669,-0.282228627,-1.788121644,2.374382369,6.155222134
0.064575973,-1.025213905,0.346573958,-27.80118015,-0.735392917,-0.116854278,-0.306842061,0.346573958,-0.566791465,5.428389138
0.064575973,-1.025213905,0.884253787,-27.80118015,-0.766394116,-0.135581754,-0.306842061,0.884253787,-0.566791465,2.681241237
2.167836628,0.881653434,1.385902385,-27.80118015,0.272146059,-0.096254054,0.357720655,1.385902385,-0.272674082,3.531478917
0.064575973,-1.025213905,0.666251551,-27.80118015,0.144266112,-0.099999549,-0.306842061,0.666251551,-0.272674082,3.070037867
0.064575973,-1.025213905,0.710648758,-27.80118015,-0.739268067,-0.108426913,-0.306842061,0.710648758,-0.272674082,5.355901482
0.064575973,-1.025213905,1.142890755,-27.80118015,-0.739268067,-0.108426913,-0.306842061,1.142890755,-0.272674082,4.24062412
0.064575973,0.881653434,0.283452904,-27.80118015,0.372899957,-0.079399325,-0.282228627,0.283452904,-0.272674082,5.590441672
-0.327783654,0.881653434,-1.726638373,-0.009707116,0.423276906,-0.089699437,-0.306842061,-1.726638373,2.374382369,5.184918454
0.064575973,0.881653434,1.928584093,-27.80118015,-0.739268067,-0.114045156,0.357720655,1.928584093,-0.272674082,2.51054501
0.090401366,-1.025213905,0.603396084,-27.80118015,-0.789645016,-0.07565383,-0.306842061,0.603396084,-0.566791465,5.115254277
0.064575973,-1.025213905,0.632167953,-27.80118015,-0.778019566,-0.124345268,0.357720655,0.632167953,-0.272674082,5.186560829
0.064575973,-1.025213905,0.219003918,-27.80118015,-0.785769866,-0.140263623,-0.306842061,0.219003918,-0.566791465,6.254246359
0.064575973,0.881653434,0.132201404,-27.80118015,0.923171244,-0.090635811,1.982207295,0.132201404,-0.272674082,4.809276826
-0.597580441,0.881653434,-2.40791196,-27.80118015,0.396150856,-0.081272073,-0.282228627,-2.40791196,0.235346853,5.62763004
0.064575973,0.881653434,0.281372477,-27.80118015,0.376775107,-0.086890316,-0.282228627,0.281372477,-0.272674082,5.755737688
0.064575973,-1.025213905,-0.507773486,-27.80118015,0.202393361,-0.061608223,-0.306842061,-0.507773486,-0.566791465,6.70229928
0.00946233,-1.025213905,0.565727069,-27.80118015,-0.739268067,-0.082208447,-0.306842061,0.565727069,-0.566791465,4.54760243
0.064575973,0.881653434,-1.863636733,-27.80118015,0.403901156,-0.099063175,-0.282228627,-1.863636733,2.374382369,5.109183554
0.064575973,0.881653434,0.242862437,-27.80118015,0.295396959,-0.115917904,-0.282228627,0.242862437,-0.566791465,4.099715162
0.064575973,-1.025213905,-0.437038953,-27.80118015,0.136515812,-0.091572185,-0.306842061,-0.437038953,-0.272674082,5.755396869
0.85932221,0.881653434,1.034752793,-27.80118015,-0.743143217,-0.085953942,-0.306842061,1.034752793,-0.272674082,4.860607485
0.064575973,1.644388505,-0.188804122,-27.80118015,-0.750893516,-0.084081194,0.210040052,-0.188804122,-0.272674082,2.974050903
0.064575973,0.859228774,0.516637834,-27.80118015,-0.026240484,-0.116854278,-0.183774891,0.516637834,-0.566791465,4.067219689
0.947006166,0.881653434,0.011448084,-27.80118015,0.338023608,-0.103745044,-0.282228627,0.011448084,-0.566791465,5.816593897
-0.186140341,1.644388505,-0.288133466,-27.80118015,-0.754768666,-0.085017568,0.210040052,-0.288133466,-0.272674082,4.447901899
2.329040208,0.881653434,0.014812179,-27.80118015,0.314772708,-0.060671849,-0.282228627,0.014812179,-0.566791465,5.94786682
0.064575973,-1.025213905,0.599722138,-27.80118015,-0.743143217,-0.144009118,-0.306842061,0.599722138,-0.566791465,4.65683578
2.262265503,0.881653434,0.439617755,-27.80118015,0.376775107,-0.063480971,-0.282228627,0.439617755,-0.566791465,2.544068044
-0.267079377,-1.025213905,-2.559694634,-27.80118015,-0.816771065,-0.115917904,-0.306842061,-2.559694634,2.374382369,5.637719825
0.064575973,-1.025213905,-0.428274599,-27.80118015,0.260520609,-0.096254054,-0.306842061,-0.428274599,-0.566791465,3.530071569
0.064575973,-1.025213905,0.956360517,-27.80118015,-0.801270465,-0.124345268,-0.306842061,0.956360517,-0.566791465,2.903632516
-0.307548895,-1.025213905,1.037010278,-27.80118015,-0.758643816,-0.066290092,-0.306842061,1.037010278,-0.272674082,4.742355863
0.064575973,0.881653434,1.253374731,-27.80118015,-0.739268067,-0.124345268,-0.306842061,1.253374731,-0.566791465,2.401400541
0.064575973,-1.025213905,0.25623029,-27.80118015,-0.700516568,-0.108426913,-0.306842061,0.25623029,-0.566791465,4.575199395
-0.516641405,0.881653434,-2.52786852,-27.80118015,0.438777505,-0.100935923,-0.282228627,-2.52786852,0.235346853,3.772028165
0.064575973,1.644388505,-0.397386891,-27.80118015,-0.623013569,-0.10280867,0.210040052,-0.397386891,-0.272674082,6.66678643
-0.105201305,-1.025213905,-2.171672786,-27.80118015,-0.801270465,-0.107490539,-0.306842061,-2.171672786,2.374382369,6.415434457
0.043186928,-1.025213905,1.017091292,-27.80118015,-0.727642617,-0.088763063,-0.306842061,1.017091292,-0.566791465,3.197280558
0.064575973,0.161276055,1.599876559,-27.80118015,-0.033990784,-0.256373974,0.357720655,1.599876559,-0.272674082,2.0
0.064575973,0.881653434,0.062750539,-27.80118015,0.407776306,-0.086890316,-0.282228627,0.062750539,-0.566791465,3.465828815
0.064575973,-1.025213905,-0.467360076,-27.80118015,0.24114486,-0.099999549,-0.306842061,-0.467360076,-0.566791465,4.715510307
0.064575973,0.881653434,0.415228063,-27.80118015,0.442652655,-0.106554166,-0.282228627,0.415228063,-0.566791465,2.973589623
0.064575973,-1.025213905,-0.44443111,-27.80118015,0.214018811,-0.107490539,-0.306842061,-0.44443111,-0.272674082,4.276875221
0.064575973,0.881653434,-0.148302184,-27.80118015,0.384525406,-0.089699437,-0.282228627,-0.148302184,-0.566791465,5.012693842
0.064575973,-1.025213905,0.203909753,-27.80118015,-0.758643816,-0.081272073,-0.306842061,0.203909753,-0.566791465,5.999621565
0.481606708,0.881653434,-2.024670669,-27.80118015,0.341898758,-0.090635811,-0.282228627,-2.024670669,2.374382369,3.362293938
0.064575973,-1.025213905,-0.345500146,-27.80118015,0.132640663,-0.090635811,-0.306842061,-0.345500146,-0.272674082,3.372543801
1.378681025,0.881653434,0.91276007,-27.80118015,0.345773907,-0.069099213,-0.282228627,0.91276007,-0.272674082,3.873087986
0.064575973,-1.025213905,0.542045607,-27.80118015,-0.688891118,-0.099999549,-0.331455495,0.542045607,-0.566791465,3.568319085
0.064575973,-1.025213905,0.761862684,-27.80118015,-0.778019566,-0.136518127,-0.306842061,0.761862684,-0.566791465,2.630427875
0.064575973,-1.025213905,-0.448414907,-27.80118015,0.24502001,-0.091572185,-0.306842061,-0.448414907,-0.272674082,4.55484033
