Wisper stresses;Cycles Optidat ;Final results CLD;Final results NN;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
RBTE1B2;;;;;;;;;;;;;;;;;
R_1;R_2;n Total;F Fatigue ;F max 2;Area;;;Erro cld;Error nn;MSE cld;MSE nn;;;;;;
0,1;0,1;10511;55,67;44,18;169,52;6967,850098;20321,48368;3543,149902;9810,483683;96245590,1;96245590,1;;;;;;
0,1;0,1;14304;55,6;44,11;167,1;6042,60587;17588,2919;8261,39413;3284,291899;10786573,28;10786573,28;;;;;;
0,1;0,1;22574;55,91;44,38;165,36;5054,250427;14633,78428;17519,74957;7940,215722;63047025,71;63047025,71;;;;;;
0,1;0,1;5982;55,91;44,38;157,44;2948,62652;8172,787575;3033,37348;2190,787575;4799550,198;4799550,198;;;;;;
0,1;0,1;7431;55,77;44,27;156,56;2849,665013;7864,380761;4581,334987;433,3807609;187818,8839;187818,8839;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;Total;7387,800414;4731,831928;35013311,63;35013311,63;;;;;;
;;;;;;;Max error cld;17519,74957;;;;;;;;;
;;;;;;;Max error nn;9810,483683;;;;;;;;;
;;;;;;;Relative error;0,607529392;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
