nr,taverage,waverage,area,Lnominal,R-value1,smax,smean,smin
2175,-0.4327016584700102,0.13005326664735525,0.0019661845912364168,-0.2846091177502517,-0.350710573365736,0.0970416020552599,0.22217985698291912,0.33063103587069936
2846,0.621302145993298,0.17964832857004712,0.3971431490819448,-0.2846091177502517,0.42911716680701845,-2.0662181029154723,-1.866300998898139,-1.3961412367322659
3735,0.41050138510063516,0.16311664126248446,0.2817162061069715,-0.2846091177502517,-0.5456675084089246,-0.16572998963538965,-0.16476143513516156,-0.14166947782580136
833,-0.29216781787490576,0.06943707985295428,-0.010859031294871474,-0.2846091177502517,-0.5456675084089246,-0.19312777808077067,-0.16476143513516156,-0.11142318723163216
1205,0.6915690662908502,0.13005326664735525,0.3346202216371674,-0.2846091177502517,-0.22073928333694365,-1.053945569635362,-1.519472130142072,-1.8302996950025159
523,-0.29216781787490576,0.10801101690393707,0.02681504037057117,-0.2846091177502517,-0.22073928333694365,-1.053945569635362,-1.5456827352109703,-1.8819425585190896
632,1.0218235916893506,-8.092256943891385,-7.692361771080781,-0.9293597319697006,-0.22073928333694365,-1.053945569635362,-1.5314887692693482,-1.8539761287493364
1941,1.0429036677786176,0.17413776613419354,0.4748960203914755,3.207790042605096,-0.18824646082974555,0.6011856903777174,0.8553520068145011,1.0216136357973995
701,1.1131705880761698,0.13005326664735525,0.45165031659790505,-0.2846091177502517,-0.22073928333694365,1.515177426656338,1.2747272001366614,0.8388923874687269
2155,1.1131705880761698,0.10801101690393707,0.4131746689395791,-0.2846091177502517,3.0285429673828665,-1.194824549921782,-1.033046295377623,-0.7163669302123177
1051,0.26996754450552446,0.17413776613419354,0.252057894370346,-0.2846091177502517,-0.18824646082974555,0.8644483658291557,1.0176097083514304,1.050677001259093
2138,-0.5732354990651208,0.15209551639077343,-0.022882671188098336,-0.2846091177502517,-0.22073928333694365,1.2429622461727317,1.1222040787367826,0.8388923874687269
2452,0.7618359865884025,0.19618001587761175,0.38912738915312767,-0.2846091177502517,-0.18824646082974555,-0.10030702535714128,0.4229982920129041,0.944171062021389
1673,0.059166783612867827,0.041884267673680566,0.06368753604313278,-0.2846091177502517,-0.5456675084089246,-0.31541309406961154,-0.16476143513516156,0.023575928122944616
3742,-0.011100136684690632,0.21271170318517635,0.20797121476184827,-0.2846091177502517,-0.18824646082974555,0.2572975195046709,0.6434020822917145,0.9836494710296516
