nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E
1656,-0.13047505939326343,-0.6764276484550528,-0.8086894685799245,-1.4066656937905797,-0.8501702662193044,-0.1499063377991721,-0.4022862772523271,1.390912002491007,1.5758011858120204,-0.5427387251636692,0.8609893942043271
1928,0.5890399926349205,1.557420109950948,1.429266296258827,-0.20734021686958184,1.4062268133791278,-0.1499063377991721,-0.6400008956287022,-0.04431595916580568,-0.16199961645813662,-0.9533798859760376,-1.3888970508624803
1164,-0.13170710571522923,-0.6764276484550528,-0.6904578432676888,-1.7064970630208292,-0.7352009865764954,-0.1499063377991721,-0.6400008956287022,0.474419051241446,0.501412954458422,0.1245531611564298,0.6013014517228485
1075,0.08266895430686613,-0.6764276484550528,-0.7242383076426134,-0.764169902582911,-0.740532895197611,-0.1499063377991721,-0.6400008956287022,0.4084315587514776,0.4299620851471128,1.3243953029050692,0.44629046718844945
1188,0.18739289167398218,-0.6764276484550528,-0.8593601651423114,1.2061505237872954,-0.81784557020379,-0.1499063377991721,-0.6400008956287022,0.933765318407726,1.0422404876108495,-0.6004851384029084,0.9879380453316363
1100,-0.08365729915855248,-0.6764276484550528,-0.7749090042049999,0.7778199963155213,-0.7481975138404651,-0.1499063377991721,1.7371452881350489,-1.8556726280154383,-2.070856387004995,0.27854359646106813,0.8066464628445666
944,-0.2943372202147504,-0.6764276484550528,-0.6735676110802266,-0.9355021135716206,-0.6945451833404875,-0.1499063377991721,-0.6400008956287022,0.6650495851013548,0.6983403770118488,-0.6004851384029084,0.6779160762628388
677,-0.15018780054472097,-0.6764276484550528,-0.7073480754551511,-1.6208309575264743,-0.7491972467069242,-0.1499063377991721,-0.6400008956287022,0.7687965871828051,0.8304750251045946,-1.2421119521722344,0.6551989492190042
1666,-0.12431482778343342,-0.6764276484550528,-0.7073480754551511,-1.0640012718131604,-0.7335347651323967,-0.1499063377991721,-0.6400008956287022,1.186717372952605,1.2834157062287346,-1.357604778650713,0.7852656373915459
1162,-0.13170710571522923,-0.6764276484550528,-0.5806713340491837,-1.7493301157679988,-0.629562547020639,-0.1499063377991721,-0.6400008956287022,0.49971425669593383,0.5023641108656546,0.1245531611564298,0.4894975519580951
1190,0.18739289167398218,-0.6764276484550528,-0.8171345846736559,1.7201471567534394,-0.7608607968156148,-0.1499063377991721,-0.6400008956287022,0.933765318407726,1.017738698560539,-0.6004851384029084,1.6966233223265461
907,-0.19577351445746521,-0.6764276484550528,-0.6989029593614198,-0.7213368498357259,-0.7138733520920322,-0.1499063377991721,-0.6400008956287022,0.6650495851013548,0.7044277780181372,-0.6004851384029084,0.7202322933052754
1083,-0.29926540550261455,-0.6764276484550528,-0.6820127271739574,0.5636547325796266,-0.6565553344150377,-0.1499063377991721,-0.6400008956287022,1.0316467656011792,1.0803247901564408,-1.2292794158968476,0.3995199115099665
