nr,Ncycles
1383,-0.17943766840093872
673,1.0238475658735728
3743,1.2657871554025704
1802,0.6869168780951816
669,-0.4985022014451987
1144,1.3898384477001526
668,-0.5865509305816421
1166,0.17710520551704745
1165,0.7109284406005083
1396,-0.28143543092906437
1215,0.398562191399425
2709,-3.0690926905506286
902,0.9079351860787892
1924,-0.1806172854869261
1082,0.3319858921086688
1389,-1.4124412253208036
1151,-3.0690926905506286
1094,-0.027954498789524964
1795,-0.8431334403243598
1314,0.978649278453934
1213,1.0010136016215394
1792,-0.4655058709690733
2715,0.5745166673684784
1665,-1.2268787721281214
1662,0.4208357473201414
1158,1.1480965481726684
1625,0.5719712134470933
1375,-1.122957354594669
1091,0.7623306094744156
670,-0.6364771767172885
469,0.09450876012393919
1319,0.342190711063921
1390,1.4116612453063355
1206,0.4058376836752088
1309,1.3771295443946805
2367,1.002838895218366
2679,1.365196594719852
1927,-0.5153765991588457
1384,-1.4825476395420787
2250,-1.0265415886654838
1626,0.6765079325833357
1268,0.011108635047608692
3051,0.9886687376209566
1369,1.3228689883019946
2244,1.2663345864639675
1266,0.7370717653791471
1661,-0.491809024056683
1269,-0.10246336090412043
955,1.3815948038700872
1163,0.26483508852447624
906,0.7732800514021608
1773,-2.6335518642937306
2217,0.437878644455104
1160,-0.2987671373738686
1394,-3.0690926905506286
549,-0.780374645971306
1325,-0.4405774659615679
647,-0.6947138542085718
898,-0.01931134422862004
1191,-0.6802848560322814
2706,0.4017559619065186
650,0.12367542370970824
1079,-0.8350805272449444
1153,1.0213561434329248
1771,0.019463878251650493
548,-0.9035880764629949
1323,-1.1097731979960397
1382,-1.211210225337602
1791,-0.6217006475630885
2599,1.049475717552297
1798,-0.848173100605767
1657,-0.5573687304760502
1797,-0.7646152594208943
2215,0.3083022897718448
2279,2.2103089564298
659,-1.166194729218573
903,1.152907808902327
909,1.0749770683008877
1650,0.02230636097600137
1387,1.5484154815344562
1308,0.5812242555296256
2247,-1.9802406249083842
1312,0.6062752280806104
3202,-0.24552849034541574
1372,-1.1204030617033591
1299,0.4704058194966662
1929,-0.09889707742080422
683,1.1776098905509391
653,-0.9257199901104732
662,-0.63634090419506
1104,-0.4917230308181353
1392,0.19390550027121983
1656,-0.6082102449908273
1928,-0.23834589583480703
1164,0.7884625852944691
1075,0.9112625684129119
1188,-0.6904769727413224
1100,-0.5252645757658703
944,0.23223583962357186
677,0.06706538372174223
1666,-1.3318771459687708
1162,0.6423999928820749
1190,-0.7371588205291433
907,0.3058197927009155
1083,-0.7561234912693225
462,1.613721270973942
1148,0.9233042420504373
2713,0.5261164945279688
1093,-0.3566909361348899
2600,1.2445014830540522
1385,0.11226618887417576
1159,1.1402496399329092
899,1.2374791823926312
3749,-0.4427770756119512
1081,-0.02570303104960049
1320,0.3579048651231165
1099,-1.188291378899505
1774,-1.6807977198760573
1778,-1.6923637975586598
1295,0.9456898245386673
1161,0.11947608988945461
1796,-0.8017736413998551
2214,1.3731576503227318
1371,0.052928703286818986
1776,-0.9867192073936254
3748,-0.27223767732309295
1377,-1.3044363568140196
461,-0.6887015047509978
1310,0.053035005536208796
1152,1.1179222245424312
1664,-1.1654598135733543
895,0.6060219727338262
1307,-0.2645507653535777
1391,-0.1517959456689086
1370,0.004303232893478546
1149,0.7419949452836554
1326,-0.5306682324739035
908,0.6848364809590695
901,0.9891443693173311
2248,0.02872020504255761
900,0.29974452270534807
1330,1.4443982858092834
1154,-2.6335518642937306
1208,1.3992292101713928
654,0.6697702475570975
1386,-0.3822629791278663
905,0.8578998427552464
1270,-0.30449495710624785
1098,-1.1367191002959525
1930,1.373244907314384
1373,-1.2932145819549958
1379,-0.17071347520721072
1089,1.271035049484259
1381,-1.4537038838580234
2254,1.2711394642933402
1652,0.07324789179507121
2711,-0.4605618182526279
1655,-0.48593002828315823
1092,-0.679815118149999
3747,0.512996041442433
2707,-2.8513222774221796
1926,-0.3925647641784854
1304,0.785171874255955
2597,0.520628960085801
1324,0.093562625888226
1311,0.024874346688658337
1395,-1.2078319530556472
1790,-0.466139291133376
1084,-1.0754441688265468
2842,1.115841375065874
2252,0.5620199993738019
1329,-0.40536393916109537
1654,0.15473215374093158
1659,1.4611266151664668
468,0.23692156459001856
1921,0.9422395008757286
1920,1.0944630078525759
1313,-0.08736482498341687
1380,-1.1255325845464517
1793,-0.4870292870646436
1095,1.2187312615239292
1789,0.5167940456181722
