nr,Ncycles
3064,0.8514054396870722
1666,-1.4019969846964286
1380,-1.1982563870563796
673,0.9239996752488683
1769,0.7121650017289266
3746,0.3866363360815662
669,-0.5791388095882096
1144,1.2853719376441999
668,-0.6660764083892284
1626,0.5810432920864774
1210,0.1819337327507409
1308,0.48696204674397475
902,0.8095500509385125
1394,-3.117289749589272
1082,0.240868945146382
1951,0.13135299398784073
1151,-3.117289749589272
1094,-0.11452918044947243
1389,-1.481544386199825
1316,0.4327957327149752
1797,-0.8418936556479653
1950,-1.1339240551622085
1772,0.9342554810987633
3202,-0.3293574985062884
1158,1.046680698365223
1627,0.5703132493045154
1091,0.6657829302932255
670,-0.7153726106030686
469,0.006388654205308406
1655,-0.5667252908794425
1395,-1.2795171792472826
1206,0.3137887645341087
1310,-0.034561722619922235
1384,-1.5507660930060916
1790,-0.5471843028018298
3743,1.162886109781736
2598,1.0852234593436323
2253,1.1170818249275096
1382,-1.2828528194452695
1302,0.9207810611561846
3051,0.8892647859788989
1326,-0.6108989216082389
2279,2.0954885243977794
1297,0.8795040704768304
1664,-1.2376797546895248
1303,-0.12496556641126047
955,1.2772323244210932
1163,0.17456555066896834
906,0.6765941958134154
1388,-1.4236632678108485
1087,-0.03354394763749109
1650,-0.06490258726016722
2247,-2.042178445145862
1160,-0.38192430079251216
1371,-0.03466668338880256
549,-0.8574541667275373
1369,1.219247598881105
647,-0.7728743707408643
898,-0.10599509811846308
1191,-0.758627459208421
3744,0.8506511370595853
650,0.035187249279344045
1079,-0.9114696875064198
1153,0.9215396932966784
1776,-1.0611947643675865
548,-0.9791127061754397
1329,-0.48717590496829494
2368,1.1771531462948317
1796,-0.8785831176795622
3053,0.9893449339253455
2706,0.3097585520253753
3201,1.499777233026628
1921,0.8434214626693808
2245,0.3764799794976178
2597,0.42713143321676583
659,-1.238405396071783
903,1.0514312434229942
909,0.9744839492698298
1653,0.7448801067380157
1393,-0.2482674973336506
1314,0.8793717673083401
2251,0.33511278055122223
1320,0.2664608338580594
1662,0.3285975602174029
1378,-2.561465268371748
1309,1.2728234142571115
2214,1.2689016434752514
683,1.0758215973211083
653,-1.0009653262899405
662,-0.7152380577710027
1104,-0.5724451886585311
1625,0.4778257733627479
1659,1.3557604845685083
2213,-0.06382984654731697
1164,0.6915851338230595
1075,0.8128354433940161
1188,-0.7686909565703269
1100,-0.6055634563090926
944,0.1423776877667161
677,-0.020708400695987603
1773,-2.6872452278119083
1162,0.5473657772971103
1190,-0.8147837030991127
907,0.21503304865122996
1083,-0.8335090493065314
462,1.5064294731601784
1148,0.8247251572133913
2715,0.48033910494577303
1093,-0.43911713057104357
2679,1.2610410523591293
1391,-0.23680781103655832
1159,1.0389328141303529
899,1.1349353690436785
1081,-0.1123061250913006
1327,-0.429812534961972
1099,-1.2602231972331221
1793,-0.5678106775722496
1307,-0.3481397220450237
1161,0.031040908923527892
1920,0.9937239861405538
2244,1.163426632540596
1377,-1.3749024843928268
1795,-0.9194209769042802
3748,-0.35572962908148836
1383,-0.26410070923753404
461,-0.7669378940861689
1317,-0.05668026005206255
1152,1.0168871594057618
1774,-1.7465143578065594
895,0.5114468293254373
1313,-0.1731897784380974
1397,-1.1627132253807697
1376,-0.3210928638266645
1149,0.6457038918777034
1370,-0.08267852499092443
908,0.5892667384029187
901,0.8897344154443323
2252,0.46800013856742656
900,0.20903444548384018
1374,-1.0824213428733562
1154,-2.6872452278119083
1208,1.294644193452631
654,0.574390633230368
1392,0.10453105786978978
905,0.760146128287993
1304,0.6883359498900002
1098,-1.209301734646852
2248,-0.058569682654963
1379,-0.25548661094017455
1385,0.02392199320482352
1089,1.168067778099936
1387,1.4419478096840852
1658,1.35004643482322
1661,-0.5725300967059929
1092,-0.7581636491801329
3747,0.4195948381380383
2709,-3.117289749589272
2217,0.34542538462847827
1312,0.511696888718104
2711,-0.541677214801972
1330,1.3392432582492908
1319,0.2509449844585899
1649,0.969248885111851
1802,0.5913208819815935
1084,-1.148800061756241
2599,0.9493044126426804
1373,-1.3638223226449229
1660,1.2918847496394443
1665,-1.2983236371166784
468,0.147004281258981
1955,1.046381072499934
1952,0.3633720752670561
1322,-0.12296561396494174
1386,-0.46436646734228393
1922,-0.32302447241467847
1095,1.1164240374342158
1799,-0.9643525838130108
