nr,taverage,waverage,area,Lnominal,smax,Ncycles,smean,smin
709,6.8,25.2,171.36,150.0,81.2,6.915862009924978,0.0,-81.2
710,6.9,25.2,173.88,150.0,0.0,0.0,-229.235,-458.47
712,6.7,25.3,169.51,150.0,0.0,0.0,-229.025,-458.05
715,6.7,25.3,169.51,150.0,0.0,0.0,-235.145,-470.29
718,6.7,25.3,169.51,150.0,117.99,4.1924559385119755,0.0,-117.99
723,6.7,25.3,169.51,150.0,547.35,0.0,273.675,0.0
725,6.7,25.3,169.51,150.0,0.0,0.0,-234.75,-469.5
728,6.6,25.4,167.64,150.0,534.53,0.0,267.265,0.0
730,6.5,25.3,164.45,150.0,549.35,0.0,274.675,0.0
733,6.6,25.2,166.32,150.0,0.0,0.0,-236.77,-473.54
736,6.6,25.2,166.32,150.0,0.0,0.0,-240.48,-480.96
739,6.6,25.1,165.66,150.0,0.0,0.0,-232.505,-465.01
744,6.6,25.3,166.98,150.0,0.0,0.0,-236.11,-472.22
745,6.75,25.3,170.78,150.0,0.0,0.0,-231.82,-463.64
747,6.5,25.3,164.45,150.0,0.0,0.0,-242.01,-484.02
749,6.6,29.53,194.9,150.0,0.0,0.0,-196.85,-393.7
827,6.65,25.29,168.18,150.0,134.98,5.8047192407349115,0.0,-134.98
828,6.59,25.32,166.86,150.0,224.98,3.915610862661467,0.0,-224.98
829,6.58,25.28,166.34,150.0,250.03,3.316808752053022,0.0,-250.03
830,6.66,25.24,168.1,150.0,150.0,5.682315690791863,0.0,-150.0
831,6.58,25.05,164.83,150.0,134.99,5.816593896764794,0.0,-134.99
832,6.57,25.28,166.09,150.0,134.99,5.866397228273814,0.0,-134.99
833,6.6,25.09,165.59,150.0,175.0,5.041001644129642,0.0,-175.0
834,6.67,25.31,168.82,150.0,124.39,6.321900695279774,0.0,-124.39
835,6.75,25.18,169.97,150.0,184.98,4.756164288860081,0.0,-184.98
836,6.68,25.34,169.27,150.0,250.01,3.4163075870598827,0.0,-250.01
837,6.62,25.28,167.35,150.0,200.0,4.211947743679433,0.0,-200.0
838,6.68,25.34,169.27,150.0,185.03,4.774283332755715,0.0,-185.03
839,6.76,25.33,171.23,150.0,250.01,3.185825359612962,0.0,-250.01
840,6.68,25.25,168.67,150.0,184.98,4.689681712690806,0.0,-184.98
876,6.52,24.57,160.2,150.0,577.6,0.0,288.8,0.0
877,6.5,25.0,162.5,150.0,517.42,0.0,258.71,0.0
880,6.52,24.75,161.25,155.0,555.98,0.0,277.99,0.0
882,7.0,25.0,175.0,155.0,477.26,0.0,238.63,0.0
986,6.78,25.35,171.82,150.0,525.91,0.0,262.955,0.0
987,6.79,25.38,172.33,150.0,511.17,0.0,255.585,0.0
988,6.61,25.29,167.24,150.0,520.32,0.0,260.16,0.0
989,6.77,25.27,171.1,150.0,520.81,0.0,260.405,0.0
990,6.67,25.32,168.96,150.0,513.61,0.0,256.805,0.0
991,6.55,25.41,166.49,150.0,0.0,0.0,-222.835,-445.67
992,6.84,25.31,173.2,150.0,0.0,0.0,-223.275,-446.55
993,6.73,25.1,168.9,150.0,0.0,0.0,-226.375,-452.75
994,6.92,25.1,173.75,150.0,0.0,0.0,-215.6,-431.2
995,6.83,25.26,172.47,150.0,0.0,0.0,-221.895,-443.79
996,6.85,25.38,173.76,150.0,0.0,0.0,-221.17,-442.34
1063,6.78,25.19,170.85,150.0,234.12,3.3203540328176717,0.0,-234.12
1064,6.78,25.24,171.07,150.0,233.83,2.60422605308447,0.0,-233.83
1065,6.75,25.28,170.53,150.0,263.88,2.3820170425748683,0.0,-263.88
