nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
581,51.64,90.0,3.67,24.87,91.27,300.0,1.0,5.49,60.18,0.0,0.0,14.53,23.0
582,51.64,90.0,3.75,25.0,93.75,300.0,1.0,4.91,52.34,0.0,0.0,13.77,23.0
583,51.64,90.0,3.77,24.91,93.91,300.0,1.0,5.14,54.75,0.0,0.0,14.3,23.0
585,53.11,0.0,3.736,10.265,38.35,126.0,1.0,-25.42,-662.71,0.0,0.0,40.99,23.0
586,53.11,0.0,3.649,10.162,37.08,126.0,1.0,-28.86,-778.21,0.0,0.0,39.14,23.0
587,53.11,0.0,3.801,10.281,39.08,126.0,1.0,-25.02,-640.36,0.0,0.0,39.27,23.0
588,53.11,0.0,3.712,10.197,37.85,126.0,1.0,-17.18,-453.75,0.0,0.0,42.98,23.0
589,53.11,0.0,3.808,10.117,38.53,126.0,1.0,-27.22,-706.6,0.0,0.0,39.13,23.0
590,53.11,0.0,3.765,10.139,38.17,126.0,1.0,-26.69,-699.05,0.0,0.0,39.49,23.0
591,53.11,0.0,3.658,10.269,37.56,126.0,1.0,-24.71,-657.73,0.0,0.0,39.76,23.0
592,53.11,0.0,3.667,10.292,37.74,126.0,1.0,-26.0,-688.94,0.0,0.0,40.75,23.0
593,53.11,0.0,3.708,10.159,37.67,126.0,1.0,-27.17,-721.35,0.0,0.0,39.44,23.0
594,53.11,0.0,3.791,10.248,38.85,126.0,1.0,-22.19,-571.22,0.0,0.0,37.94,23.0
595,52.73,90.0,3.77,9.78,36.87,126.0,1.0,-6.37,-172.66,0.0,0.0,15.51,23.0
596,52.73,90.0,3.78,9.88,37.35,126.0,1.0,-5.83,-156.08,0.0,0.0,14.6,23.0
597,52.73,90.0,3.78,9.95,37.61,126.0,1.0,-6.54,-173.81,0.0,0.0,14.72,23.0
598,52.73,90.0,3.92,10.07,39.47,126.0,1.0,-6.0,-152.0,0.0,0.0,13.83,23.0
599,52.73,90.0,3.81,9.82,37.41,126.0,1.0,-6.09,-162.64,0.0,0.0,13.93,23.0
600,52.73,90.0,3.76,9.9,37.22,126.0,1.0,-6.31,-169.54,0.0,0.0,14.45,23.0
601,52.73,90.0,3.93,9.93,39.02,126.0,1.0,-6.09,-155.93,0.0,0.0,13.62,23.0
602,52.73,90.0,3.95,9.83,38.83,126.0,1.0,-6.31,-162.54,0.0,0.0,13.82,23.0
603,52.73,90.0,3.91,9.84,38.47,126.0,1.0,-5.96,-154.99,0.0,0.0,13.36,23.0
604,52.73,90.0,3.79,9.85,37.33,126.0,1.0,-6.29,-168.57,0.0,0.0,14.15,23.0
