nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
661,52.32,0.0,3.7,24.4,90.28,-1.0,23.19,256.89,3.387389826338729,5.0,39.099999999999994,28.299625468164795,781.34,71.44,-443.29,-40.68
662,52.32,0.0,3.7,24.7,91.39,-1.0,23.19,253.77,3.36285930295868,5.0,39.335,28.299625468164795,787.57,71.58,-443.29,-40.68
665,52.32,0.0,3.7,24.8,91.76,-1.0,16.7,181.98,5.833532767592629,5.0,38.635000000000005,28.299625468164795,800.76,73.38,-443.29,-40.68
668,52.32,0.0,3.7,25.0,92.5,-1.0,32.47,351.01,3.4316853446860116,1.0,39.379999999999995,28.299625468164795,919.9,86.13,-443.29,-40.68
669,52.32,0.0,3.8,24.8,94.24,-1.0,23.19,246.09,3.55339751012388,5.0,37.480000000000004,28.299625468164795,812.77,76.6,-456.75,-43.04
670,52.32,0.0,3.7,24.7,91.39,-1.0,30.0,328.26,3.362670929725667,1.0,38.55,28.299625468164795,787.57,71.58,-443.29,-40.68
673,52.32,0.0,3.75,24.9,93.38,-1.0,18.55,198.7,5.65778321280759,5.0,38.405,28.299625468164795,812.77,76.6,-456.75,-43.04
677,50.66,0.0,3.8,24.7,93.86,-1.0,27.83,296.51,4.335197045077562,1.0,38.22,28.299625468164795,811.34,76.46,-450.76,-42.48
683,50.66,0.0,3.8,24.8,94.24,-1.0,16.7,177.19,5.870333077896974,5.0,38.5,28.299625468164795,811.34,76.46,-450.76,-42.48
891,53.31,0.0,3.85,25.37,97.76,10.0,-50.0,-511.47,0.3010299956639812,2.8,39.13,29.984285714285715,961.4694698,93.8,-393.42,-38.23
893,53.31,0.0,3.79,25.22,95.5,10.0,-38.0,-397.9,5.479330527707678,4.85,41.19,49.5,786.3,74.9,-445.97,-42.65
894,53.31,0.0,3.81,25.62,97.61,10.0,-45.0,-461.01,2.469822015978163,4.0,41.18,28.0,961.8513682,93.4,-473.09,-45.65
895,53.31,0.0,3.74,25.38,94.92,10.0,-40.0,-421.4,5.0802114725318805,4.5,39.99,29.984285714285715,798.89,75.95,-567.05,-53.3
896,53.31,0.0,3.74,25.5,95.29,10.0,-42.0,-440.78,3.7685641095135733,4.7,42.18,34.4,839.48,79.74,-567.05,-53.3
897,50.66,0.0,3.78,24.75,93.49,-1.0,25.0,267.42,3.3483048630481607,2.5,39.025000000000006,43.6,811.34,76.46,-450.76,-42.48
898,50.66,0.0,3.79,24.74,93.86,-1.0,25.0,266.35,4.215796132589833,2.5,38.05,32.6,811.34,76.46,-450.76,-42.48
899,50.66,0.0,3.83,24.79,95.04,-1.0,17.0,178.87,5.953092036768397,4.32,39.225,29.984285714285715,811.34,76.46,-450.76,-42.48
900,50.66,0.0,3.79,24.62,93.32,-1.0,25.0,267.89,4.656835780078811,2.0,39.7,32.5,811.34,76.46,-450.76,-42.48
901,50.29,0.0,3.77,24.61,92.85,-1.0,17.5,188.48,5.609812035461795,4.1,38.675,45.0,824.23,76.43,-450.76,-42.48
902,50.29,0.0,3.81,24.66,93.95,-1.0,20.0,212.87,5.497554361304037,3.13,38.6,31.0,764.42,71.86,-450.76,-42.48
903,50.29,0.0,3.81,24.76,94.25,-1.0,17.0,180.37,5.836186715107154,4.32,39.05,29.984285714285715,764.42,71.86,-450.76,-42.48
904,50.29,0.0,3.76,24.7,92.8,-1.0,20.0,215.51,5.439094161184332,3.13,39.1,29.984285714285715,824.23,76.43,-450.76,-42.48
905,50.29,0.0,3.81,24.91,94.92,-1.0,20.0,210.7,5.42838913831827,3.13,37.95,29.984285714285715,764.42,71.86,-450.76,-42.48
906,50.29,0.0,3.87,24.96,96.69,-1.0,20.0,206.84,5.311416887321614,3.13,37.175,29.1,774.16,73.65,-510.78,-49.57
907,50.29,0.0,3.81,24.91,94.92,-1.0,25.0,263.38,4.6652337918846865,2.0,38.95,29.984285714285715,764.42,71.86,-450.76,-42.48
908,50.29,0.0,3.83,24.71,94.56,-1.0,20.0,211.51,5.189158921951052,3.13,37.2,29.984285714285715,774.16,73.65,-450.76,-42.48
909,50.29,0.0,3.82,24.79,94.63,-1.0,17.5,184.93,5.728460921835572,4.1,38.525000000000006,40.7,774.16,73.65,-450.76,-42.48
912,50.29,0.0,3.92,24.81,97.24,-1.0,25.0,257.09,4.64423173331632,2.0,37.849999999999994,29.984285714285715,792.76,76.06,-450.76,-42.48
