nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
1024,53.73,90.0,6.31,25.21,159.17,145.0,-27.04,-169.88,15.03
1025,53.73,90.0,6.38,25.06,159.98,145.0,-26.45,-165.34,15.22
1026,53.73,90.0,6.39,25.2,161.1,145.0,-26.1,-162.01,14.95
1027,53.73,90.0,6.29,24.91,156.76,145.0,8.95,57.07,13.88
1028,53.73,90.0,6.32,25.14,158.81,145.0,8.45,53.18,13.54
1029,53.73,90.0,6.3,25.31,159.47,145.0,-27.22,-170.66,14.9
1030,53.73,90.0,6.28,25.31,158.95,145.0,-26.76,-168.36,15.1
1031,53.73,90.0,6.26,25.33,158.57,145.0,-26.14,-164.85,14.75
1032,53.73,90.0,6.35,25.24,160.29,145.0,-27.52,-171.69,15.03
1033,54.75,90.0,6.31,25.05,158.04,145.0,-26.59,-168.23,14.7
1034,54.75,90.0,6.26,25.01,156.54,145.0,-26.72,-170.71,15.0
1035,54.75,90.0,6.47,25.0,161.77,145.0,-26.65,-164.74,14.7
1036,54.75,90.0,6.28,25.15,158.04,145.0,-25.65,-162.3,15.01
1037,54.75,90.0,6.3,24.98,157.4,145.0,-26.14,-166.08,15.11
1038,54.75,90.0,6.26,25.11,157.09,145.0,-25.11,-159.83,15.1
1039,54.75,90.0,6.36,25.05,159.39,145.0,-26.12,-163.9,14.8
1040,54.75,90.0,6.34,25.03,158.62,145.0,-23.6,-148.79,14.65
1041,54.75,90.0,6.36,24.95,158.61,145.0,-26.08,-164.43,15.16
1042,54.75,90.0,6.3,25.04,157.75,145.0,-25.88,-164.05,14.39
1043,54.75,90.0,6.33,25.0,158.18,145.0,-25.56,-161.59,15.05
1044,54.75,90.0,6.34,25.07,158.94,145.0,-26.68,-167.88,15.1
1045,54.75,90.0,6.36,25.12,159.67,145.0,-26.09,-163.39,15.14
1046,54.75,90.0,6.39,25.1,160.49,145.0,-26.65,-166.06,15.66
1047,54.75,90.0,6.27,25.15,157.67,145.0,-26.2,-166.17,15.28
1048,54.75,90.0,6.46,25.02,161.63,145.0,-25.45,-157.47,15.0
1193,53.31,0.0,3.78,25.3,95.63,145.0,-42.65,-445.97,38.56
1194,53.31,0.0,3.71,25.3,93.86,145.0,73.82,786.47,39.41
1195,53.31,0.0,3.75,25.3,94.8,145.0,77.59,818.47,39.36
1217,53.54,0.0,3.73,25.32,94.54,145.0,78.94,834.95,38.57
1218,53.54,0.0,3.74,25.4,94.98,145.0,79.74,839.48,39.1
1219,53.54,0.0,3.71,25.41,94.37,145.0,81.24,860.89,38.5
1220,53.54,0.0,3.76,25.41,95.55,145.0,80.3,840.4,39.22
1221,53.54,0.0,3.72,25.42,94.66,145.0,78.72,831.58,39.33
1222,53.54,0.0,3.73,25.72,95.85,145.0,79.14,825.71,36.4
