nr,Fibre Volume Fraction,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1052,49.69,6.77,25.21,170.67,0.1,66.56,389.99,3.0707764628434346,1.52,27.36,35.27916666666667,551.46,92.7,-508.39,-85.0
1053,49.69,6.67,25.09,167.35,0.1,62.76,375.02,3.189770956346874,1.65,27.43,43.4,543.94,91.0,-508.39,-85.0
1054,49.69,6.68,25.31,169.07,0.1,50.72,299.99,4.13325141247232,2.57,27.19,40.4,649.9456603,109.8,-457.07,-76.9
1055,49.69,6.68,25.28,168.87,0.1,43.91,260.02,4.852736103053581,3.42,27.49,35.27916666666667,649.9456603,109.8,-457.07,-76.9
1056,49.69,6.68,25.22,168.47,0.1,43.8,259.99,4.76077671115636,3.42,27.06,35.27916666666667,551.46,92.7,-508.39,-85.0
1057,52.16,6.65,25.37,168.71,0.1,43.86,259.97,4.629175057540406,3.42,27.24,35.27916666666667,498.85,83.82,-472.22,-78.85
1058,49.69,6.73,25.25,169.93,0.1,42.48,249.98,4.85861538759796,3.7,27.2,37.5,649.9456603,109.8,-508.39,-85.0
1059,49.69,6.66,25.26,168.23,0.1,32.85,195.27,6.184549481320698,6.1,27.87,35.27916666666667,551.46,92.7,-508.39,-85.0
1060,49.69,6.66,25.21,167.9,0.1,32.74,195.0,6.190549351242087,6.1,28.07,35.27916666666667,551.46,92.7,-508.39,-85.0
1061,52.16,6.66,25.29,168.43,0.1,32.84,194.98,6.009965624808384,6.1,27.5,35.27916666666667,498.85,83.82,-472.22,-78.85
1062,49.69,6.73,25.28,170.13,0.1,27.22,159.99,6.713273005368654,9.04,28.8,35.27916666666667,649.9456603,109.8,-457.07,-76.9
1063,53.04,6.78,25.19,170.85,-1.0,40.0,234.12,3.3203540328176717,0.5,24.79,39.3,525.84,89.95,-402.26,-68.81
1064,53.04,6.78,25.24,171.07,-1.0,40.0,233.83,2.60422605308447,0.78,25.244999999999997,46.6,530.83,90.84,-402.26,-68.81
1065,53.04,6.75,25.28,170.53,-1.0,45.0,263.88,2.3820170425748683,0.62,24.52,40.7,504.58,86.36,-416.13,-71.19
1066,53.04,6.72,25.22,169.56,-1.0,45.0,265.39,2.429752280002408,0.62,24.79,46.7,497.51,84.0,-467.82,-78.99
1067,53.04,6.7,25.2,168.78,-1.0,30.0,177.75,4.9217384836845985,1.39,26.46,45.1,497.51,84.0,-467.82,-78.99
1068,53.04,6.7,25.24,169.02,-1.0,30.0,177.49,4.8924007280628645,1.39,27.045,40.2,497.51,84.0,-467.82,-78.99
1069,53.04,6.68,25.2,168.36,-1.0,25.0,148.49,5.556681136961934,2.0,25.23,43.0,497.51,84.0,-472.17,-79.53
1070,53.04,6.69,25.3,169.32,-1.0,25.0,147.65,3.4099331233312946,3.82,25.275,31.42941176470588,497.51,84.0,-492.62,-83.5
1071,53.04,6.78,25.19,170.73,-1.0,25.0,146.43,5.6786339934175025,2.0,24.665,40.6,525.84,89.95,-402.26,-68.81
1072,53.04,6.72,25.24,169.51,-1.0,20.0,117.99,6.210390227350943,3.12,26.29,36.8,497.51,84.0,-467.82,-78.99
1073,53.04,6.75,25.13,169.73,-1.0,20.0,117.83,6.434524993364955,3.12,27.0,29.5,519.52,88.3,-491.53,-83.51
1670,50.84,6.57,25.29,166.16,-1.0,41.51,249.83,2.9818186071706636,0.75,25.810000000000002,50.0,674.0658262,112.6,-500.25,-83.4
1673,50.84,6.65,25.04,166.52,-1.0,25.0,150.14,3.66228551572213,2.18,26.39,60.0,462.24,77.47,-474.45,-79.3
1674,50.84,6.6,25.26,166.72,-1.0,25.0,149.96,3.2605483726369795,4.48,26.88,60.0,674.0658262,112.6,-500.25,-83.4
1675,52.98,6.52,25.35,165.28,10.0,-44.87,-271.48,4.873558904211726,3.04,28.69,35.27916666666667,466.95,77.3,-480.04,-79.84
1676,52.98,6.63,25.38,168.27,10.0,-49.49,-294.11,3.743352951409556,2.67,28.65,35.27916666666667,534.53,89.61,-480.04,-79.84
1677,54.11,6.37,25.04,159.5,10.0,-44.32,-277.86,5.942633482854105,3.04,31.13,35.27916666666667,645.22,102.84,-432.13,-70.2
1678,52.98,6.55,25.07,164.21,10.0,-48.89,-297.73,4.436194462320936,2.54,27.65,35.27916666666667,495.89,81.86,-480.04,-79.84
1679,52.98,6.64,25.3,167.99,10.0,-49.33,-293.64,4.731492065483537,2.54,28.71,35.27916666666667,547.35,92.78,-472.17,-79.53
1680,52.98,6.57,25.15,165.24,10.0,-56.09,-339.45,3.2979792441593623,1.95,28.75,35.27916666666667,495.89,81.86,-480.04,-79.84
1681,52.98,6.58,25.23,166.01,10.0,-44.66,-269.01,5.866856571153084,3.04,28.42,35.27916666666667,466.95,77.3,-480.04,-79.84
1682,52.98,6.63,25.32,167.87,10.0,-49.37,-294.09,4.319647288183423,2.4,28.16,35.27916666666667,547.35,92.78,-480.04,-79.84
1683,52.98,6.6,25.32,167.11,10.0,-56.34,-337.14,3.187520720836463,2.08,27.99,35.27916666666667,466.95,77.3,-480.04,-79.84
1684,52.98,6.64,25.28,167.86,10.0,-44.48,-264.98,6.676219009391319,3.2,28.54,35.27916666666667,547.35,92.78,-472.17,-79.53
1685,52.98,6.59,25.19,166.0,10.0,-53.95,-325.0,3.362293937964231,2.19,28.32,35.27916666666667,495.89,81.86,-480.04,-79.84
1686,52.98,6.66,25.33,168.7,10.0,-46.39,-274.99,5.3637454438336505,3.06,28.58,35.27916666666667,547.35,92.78,-472.17,-79.53
1687,52.98,6.58,25.3,166.47,10.0,-49.94,-299.99,4.223833277236323,2.57,28.22,35.27916666666667,466.95,77.3,-480.04,-79.84
1688,52.98,6.65,25.15,167.25,10.0,-50.17,-299.97,3.6238692683503024,2.57,28.85,35.27916666666667,497.51,84.0,-472.17,-79.53
1689,52.98,6.65,25.19,167.51,10.0,-58.63,-350.0,2.962369335670021,1.89,28.47,35.27916666666667,497.51,84.0,-472.17,-79.53
1690,52.98,6.62,25.21,166.89,10.0,-41.72,-249.98,7.007485970552654,3.7,28.02,35.27916666666667,495.89,81.86,-480.04,-79.84
2144,54.11,6.38,25.06,159.69,-0.4,50.8,317.73,2.938519725176492,0.9,28.35,28.299625468164795,645.22,102.84,-432.13,-70.2
2145,54.11,6.45,25.06,161.38,10.0,-52.8,-326.98,5.185034756724982,0.63,29.0,28.299625468164795,645.22,102.84,-432.13,-70.2
2148,52.42,6.57,25.33,166.22,10.0,-44.42,-266.92,6.324799595776807,3.15,30.6,28.299625468164795,664.6,109.92,-472.22,-78.85
2149,52.83,6.59,25.4,167.25,10.0,-44.9,-268.24,4.8823024958187755,2.55,30.0,28.299625468164795,534.53,89.61,-472.22,-78.85
2151,51.54,6.67,25.26,168.22,10.0,-53.2,-315.82,3.6214878645806303,2.18,27.6,28.299625468164795,513.61,86.78,-469.5,-79.58
2153,50.61,6.69,25.1,167.79,10.0,-52.9,-315.03,3.723291446477584,2.18,27.85,28.299625468164795,462.24,77.47,-474.45,-79.3
2154,50.61,6.75,25.19,169.76,10.0,-49.0,-288.24,4.881555829793312,2.55,27.4,28.299625468164795,462.24,77.47,-474.45,-79.3
2155,50.61,6.8,25.16,170.88,10.0,-49.0,-286.4,4.316389751073196,2.55,28.55,28.299625468164795,462.24,77.47,-443.79,-76.54
2158,54.11,6.45,25.04,161.38,-1.0,45.79,283.57,2.558708570533166,0.63,27.775,28.299625468164795,645.22,102.84,-432.13,-70.2
2159,54.11,6.48,25.12,162.52,-1.0,30.36,186.58,4.224481265303632,1.44,30.55,28.299625468164795,645.22,102.84,-432.13,-70.2
2160,52.42,6.61,25.26,166.7,-1.0,30.52,182.79,4.71218654396046,0.72,29.45,28.299625468164795,534.53,89.61,-472.22,-78.85
2161,51.54,6.64,25.26,167.4,-1.0,39.11,233.35,3.1789769472931693,0.63,25.975,28.299625468164795,520.32,87.02,-469.5,-79.58
2162,50.61,6.69,25.18,168.25,-1.0,22.38,132.88,5.912473417424488,2.57,26.9,28.299625468164795,462.24,77.47,-474.45,-79.3
2163,51.54,6.7,25.25,168.71,-1.0,30.49,180.4,3.8069935136821074,1.44,25.875,28.299625468164795,485.33,82.35,-469.5,-79.58
2164,51.54,6.71,25.19,168.7,-1.0,30.44,180.23,5.052347599224664,1.44,27.65,28.299625468164795,485.33,82.35,-421.64,-71.2
2165,51.54,6.73,25.18,169.33,-1.0,39.0,230.19,3.0989896394011773,0.63,23.35,28.299625468164795,520.81,89.11,-421.64,-71.2
2167,50.61,6.75,25.26,170.37,-1.0,30.54,179.11,4.614053105987219,1.44,27.2,28.299625468164795,649.9456603,109.8,-457.07,-76.9
2168,50.61,6.77,25.18,170.14,-1.0,46.02,270.21,3.5921767573958667,0.32,24.625,28.299625468164795,462.24,77.47,-474.45,-79.3
2169,50.61,6.83,25.09,171.16,-1.0,38.84,226.7,3.830203598925704,0.63,26.700000000000003,28.299625468164795,462.24,77.47,-443.79,-76.54
2170,51.54,6.85,25.02,171.32,-1.0,38.77,226.21,2.973589623427257,0.63,25.799999999999997,28.299625468164795,520.81,89.11,-443.79,-76.54
2171,54.11,6.3,25.19,158.51,-0.4,38.7,243.91,3.8374621714859947,1.5,30.075,28.299625468164795,731.92,118.1,-432.13,-70.2
2174,52.42,6.54,25.41,165.79,-0.4,50.9,306.53,3.3188977146274867,0.9,25.8,28.299625468164795,664.6,109.92,-472.22,-78.85
