nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,R-value1,Fmax,Ncycles,f,E,Temp.,ftens,fcomp
2600,54.31,0.0,3.61,24.93,10.0,-35.0,5.9627991549544275,5.1,43.61,22.7,78.9,-51.2
2679,54.75,90.0,6.3,25.12,0.1,3.17,6.129639307477761,8.2,14.4,29.984285714285715,9.15,-25.88
2706,51.11,0.0,3.81,25.34,10.0,-40.42,4.797848981363836,4.17,39.55,29.984285714285715,76.27,-51.19
2707,51.11,0.0,3.77,25.3,10.0,-39.93,0.3010299956639812,0.02,39.61,29.984285714285715,76.27,-49.73
2709,51.11,0.0,3.76,25.37,10.0,-35.91,0.0,0.02,39.66,29.984285714285715,76.27,-49.73
2711,51.11,0.0,3.8,25.36,10.0,-40.42,3.6058435390580894,3.31,38.32,30.7,76.27,-47.31
2712,51.11,0.0,3.79,25.31,10.0,-42.24,5.554016448585713,3.0,39.2,33.5,76.27,-50.82
2713,51.11,0.0,3.78,25.34,10.0,-40.14,4.969755945482622,3.31,39.08,28.4,76.27,-50.74
2715,49.07,0.0,3.88,25.13,10.0,-42.89,5.036660827605983,3.78,36.9,29.984285714285715,66.66,-49.57
2718,51.2,0.0,3.74,25.24,10.0,-41.52,3.663229634532868,3.78,39.81,29.984285714285715,76.27,-42.3
2842,53.84,0.0,3.59,25.03,-1.0,16.73,5.784948770260692,4.56,44.6,26.3,78.9,-51.2
3051,53.84,0.0,3.63,24.98,0.1,26.31,5.609154556764665,6.19,40.83,31.2,78.9,-57.5
3053,52.3,0.0,3.64,25.2,0.1,26.52,5.749266219519278,6.19,39.8,27.6,86.18,-39.16
3064,52.38,0.0,3.67,25.51,0.1,26.84,5.556151677886138,6.19,38.325,26.3,109.1,-39.16
3201,52.38,0.0,3.62,25.61,0.1,21.29,6.463868661843904,9.93,40.455,33.7,109.1,-38.31
3202,53.62,0.0,3.66,25.25,10.0,-43.56,3.9030899869919438,4.2,40.150000000000006,34.1,99.31,-46.82
3204,53.4,0.0,3.74,25.43,10.0,-44.98,4.4276808163314625,4.2,38.46,32.4,79.74,-53.3
3743,53.28,0.0,3.75,25.35,-1.0,20.28,5.992222921767967,3.2,37.93,-30.0,75.95,-42.65
3744,53.28,0.0,3.75,25.37,-1.0,20.3,5.5550956583105675,3.2,37.0,-37.1,75.95,-42.65
3745,53.28,0.0,3.75,25.4,-1.0,24.64,5.151188984260521,2.2,37.19,-40.7,75.95,-42.65
3746,53.28,0.0,3.75,25.4,-1.0,24.64,4.905477460877743,2.2,37.4,-37.0,75.95,-42.65
3747,53.28,0.0,3.75,25.23,-1.0,24.47,4.951619184484154,2.2,39.16,-38.8,77.59,-37.77
3748,53.28,0.0,3.75,25.44,0.1,46.05,3.8661691476337707,3.2,36.44,-38.3,75.95,-42.65
3749,53.28,0.0,3.75,25.34,0.1,45.87,3.630427875025024,3.2,39.44,-36.2,75.95,-42.65
