nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,R-value1,Fmax,Ncycles,f,E,Temp.,ftens,fcomp
1084,49.45,0.0,3.84,25.35,-1.0,35.0,2.7558748556724915,1.02,35.224999999999994,34.9,66.66,-49.57
1086,49.45,0.0,3.8,25.28,-1.0,25.0,4.547602429785681,2.0,36.685,28.5,66.66,-50.82
1087,50.65,0.0,3.77,25.02,-1.0,25.0,4.31722734917642,2.0,37.0,29.2,76.46,-42.48
1089,53.09,0.0,3.73,25.46,-1.0,17.0,5.9994772292285665,4.33,34.655,28.0,78.72,-42.33
1091,51.2,0.0,3.74,25.21,10.0,-44.31,5.296281174399547,3.35,38.79,29.984285714285715,76.27,-42.3
1092,51.2,0.0,3.7,25.28,10.0,-43.97,3.3027637084729817,3.31,39.29,29.984285714285715,86.13,-42.3
1093,49.07,0.0,3.77,25.23,10.0,-43.04,3.749427099121749,3.57,39.27,31.5,75.06,-48.86
1094,49.07,0.0,3.82,25.16,10.0,-43.55,4.203848463746235,3.57,37.13,32.0,66.66,-51.21
1095,49.07,0.0,3.87,25.13,10.0,-40.81,5.927176273204661,4.16,38.58,33.8,66.66,-49.57
1098,49.49,0.0,3.85,24.89,10.0,-45.11,2.6711728427150834,3.31,39.33,29.984285714285715,66.4,-49.57
1099,51.2,0.0,3.76,25.21,10.0,-44.6,2.5998830720736876,3.31,39.79,29.984285714285715,76.27,-48.86
1100,51.2,0.0,3.72,25.26,10.0,-43.76,3.516403148447403,3.37,39.92,29.984285714285715,76.27,-42.3
1104,56.66,90.0,6.36,25.13,10.0,-23.03,3.562768543016519,3.0,13.8,29.984285714285715,9.23,-26.09
1105,56.66,90.0,6.3,25.03,10.0,-24.68,2.7573960287930244,2.59,14.2,30.4,9.0,-25.88
1106,56.66,90.0,6.39,24.85,10.0,-25.01,2.754348335711019,2.59,14.6,28.8,9.0,-15.01
1144,53.09,0.0,3.73,25.44,-1.0,17.0,6.16370241453279,4.33,35.735,26.5,78.72,-42.33
1145,53.09,0.0,3.65,25.44,0.1,45.0,3.723044991643445,2.16,35.58,26.8,86.18,-39.16
1146,53.09,0.0,3.74,25.39,0.1,55.0,3.083860800866573,1.5,36.84,26.3,79.74,-42.33
1148,53.09,0.0,3.75,25.51,0.1,25.0,5.518799427546235,5.0,35.6,25.0,75.95,-42.33
1149,53.09,0.0,3.72,25.48,0.1,20.0,5.268170629834625,5.0,36.36,23.0,78.72,-55.06
1150,53.54,0.0,3.79,25.56,10.0,-20.0,5.395925428467096,5.0,35.22,23.3,80.3,-42.65
1151,53.09,0.0,3.7,25.53,10.0,-40.0,0.0,2.73,36.7,22.9,76.1,-55.06
1152,53.09,0.0,3.77,25.22,10.0,-30.0,5.787825185380205,3.57,35.94,26.0,78.3,-37.77
1153,53.09,0.0,3.75,25.49,10.0,-35.0,5.654339251455213,3.57,35.62,27.6,75.95,-42.33
1154,53.54,0.0,3.76,25.46,10.0,-40.0,0.6020599913279624,2.73,34.21,21.5,80.3,-42.65
1156,52.55,0.0,3.73,24.71,-1.0,20.0,4.320914453045575,5.0,36.519999999999996,31.42941176470588,72.36,-40.68
1157,50.81,0.0,3.85,24.55,-1.0,17.01,5.834315773598671,4.32,38.099999999999994,35.27916666666667,76.06,-42.48
1158,50.81,0.0,3.75,24.71,-1.0,16.68,5.829535977866126,4.32,38.0,35.27916666666667,68.14,-43.32
1159,50.81,0.0,3.77,24.71,-1.0,16.77,5.81868898208072,4.32,37.224999999999994,35.27916666666667,76.46,-42.48
1160,50.81,0.0,3.8,24.59,-1.0,28.03,3.8294967497201826,1.52,37.769999999999996,35.27916666666667,76.46,-42.48
1161,50.81,0.0,3.88,24.59,-1.0,24.81,4.407645797062556,2.0,37.275000000000006,33.2,76.06,-42.48
1162,50.81,0.0,3.95,24.67,-1.0,20.49,5.130497804316687,3.13,36.36,35.27916666666667,76.06,-42.48
1163,50.81,0.0,3.86,24.77,-1.0,24.86,4.608579514826188,2.0,38.05,35.27916666666667,73.65,-42.48
1164,50.81,0.0,3.82,24.68,-1.0,19.8,5.332404118994238,3.13,37.615,31.9,76.46,-42.48
1165,50.81,0.0,3.86,24.84,-1.0,20.14,5.2252265510880465,3.13,37.485,35.27916666666667,73.65,-42.48
1166,50.81,0.0,3.85,24.62,-1.0,24.64,4.487308099109349,2.0,37.275,33.1,76.06,-42.48
1188,53.4,0.0,3.62,25.36,-1.0,32.33,3.2880255353883627,2.0,41.955,30.5,76.8,-51.2
1189,53.4,0.0,3.63,25.38,-1.0,32.33,3.34966598409663,2.0,45.93,31.7,76.8,-46.82
1190,53.4,0.0,3.67,25.48,-1.0,32.33,3.2234959409623944,2.0,49.91,29.2,76.8,-46.82
1191,53.4,0.0,3.67,25.37,-1.0,32.33,3.302114376956201,2.0,41.825,30.0,76.8,-46.82
1206,53.31,0.0,3.71,25.25,-1.0,25.15,4.803491256954348,1.0,38.67,34.2,73.82,-52.6
1207,50.82,0.0,3.66,24.79,-1.0,20.0,5.637010139789675,2.25,39.739999999999995,44.15,73.99,-42.7
1208,50.82,0.0,3.73,24.8,-1.0,17.0,6.176683522229599,4.32,39.605000000000004,44.15,72.36,-42.7
1209,50.82,0.0,3.68,24.75,-1.0,20.0,5.680830272795469,2.25,40.265,44.15,72.57,-43.32
1210,50.82,0.0,3.66,24.76,-1.0,28.0,4.618894929662588,0.9,40.345,44.15,73.99,-42.7
1212,50.82,0.0,3.73,24.8,-1.0,17.0,6.026698697982396,3.0,39.245000000000005,44.15,72.36,-42.7
1213,50.82,0.0,3.66,25.07,-1.0,20.0,5.626219199767275,2.25,38.8,44.15,72.8,-42.3
1214,50.82,0.0,3.72,24.78,-1.0,17.0,6.116287217345921,3.0,38.775,44.15,72.57,-42.7
1215,50.82,0.0,3.74,24.75,-1.0,25.0,4.793434145077811,1.2,39.260000000000005,44.15,71.94,-43.32
1216,50.82,0.0,3.65,24.82,-1.0,25.0,4.884846321198446,1.2,39.95,44.15,73.99,-42.7
1295,56.66,90.0,6.36,24.97,10.0,-17.89,5.549743630216195,3.56,13.74,35.6,9.0,-26.08
1297,56.66,90.0,6.3,25.12,10.0,-17.8,5.595489608153664,3.2,14.15,29.984285714285715,9.23,-25.88
1299,56.66,90.0,6.33,25.08,10.0,-19.01,4.892745556320075,2.45,14.54,29.984285714285715,9.23,-26.68
1302,56.66,90.0,6.28,24.97,-1.0,2.35,5.653277170584984,3.5,15.07,24.2,9.0,-15.13
1303,56.66,90.0,6.37,25.13,-1.0,5.12,4.189237580166831,1.8,14.58,26.7,9.23,-26.09
1304,56.66,90.0,6.37,25.1,-1.0,3.2,5.327855279161386,3.0,14.280000000000001,28.9,9.23,-26.09
1307,56.66,90.0,6.27,25.06,-1.0,5.5,3.8767949762007006,1.55,14.969999999999999,24.2,9.23,-15.13
1308,56.66,90.0,6.34,25.01,-1.0,3.96,5.045932910099003,3.04,14.73,29.984285714285715,9.0,-23.6
1309,56.66,90.0,6.26,25.12,-1.0,2.81,6.146134550046609,6.1,15.37,29.984285714285715,9.23,-25.11
1310,56.66,90.0,6.32,25.08,0.1,5.7,4.315802469737045,1.53,14.45,23.0,9.23,-26.59
1311,56.66,90.0,6.26,25.01,0.1,5.01,4.276875221131548,3.0,14.6,22.6,9.0,-26.72
1312,56.66,90.0,6.34,25.11,0.1,4.3,5.080561554321455,4.5,14.5,29.984285714285715,9.23,-26.68
1313,56.66,90.0,6.31,25.04,0.1,6.0,4.121723945637367,2.27,15.04,29.984285714285715,9.0,-26.59
1314,54.75,90.0,6.36,25.03,0.1,3.82,5.59530438443742,5.69,14.87,29.984285714285715,9.15,-26.12
1316,51.2,0.0,3.76,25.13,-1.0,25.0,4.970100365087651,2.0,38.295,29.984285714285715,76.27,-42.3
1317,54.75,90.0,6.33,25.03,10.0,-21.67,4.284836637642396,2.73,15.76,29.984285714285715,9.15,-25.56
1319,56.66,90.0,6.33,25.09,-1.0,4.26,4.715510306677597,2.54,15.115,29.984285714285715,9.23,-26.68
1320,56.66,90.0,6.35,25.19,-1.0,4.26,4.737232411440803,2.54,14.715,29.984285714285715,9.23,-26.09
1322,56.66,90.0,6.32,25.02,-1.0,4.26,4.192037502713247,2.54,14.504999999999999,23.9,9.0,-23.3
1323,56.66,90.0,6.35,25.1,-1.0,7.48,2.708420900134713,0.84,14.545,21.9,9.23,-26.09
1324,56.66,90.0,6.49,24.95,10.0,-21.55,4.371824907328892,2.73,15.23,22.4,9.0,-26.65
1325,49.07,0.0,3.79,25.23,-1.0,32.55,3.6334684555795866,1.22,38.605000000000004,33.6,75.06,-45.94
1326,50.65,0.0,3.84,25.17,-1.0,32.47,3.5089335260500327,1.22,38.47,29.984285714285715,73.65,-49.57
1327,51.11,0.0,3.74,25.44,-1.0,32.81,3.762453482363547,1.22,38.900000000000006,29.984285714285715,76.27,-42.3
1328,50.66,0.0,3.86,24.92,-1.0,32.15,3.579440597139797,1.22,38.349999999999994,29.984285714285715,73.65,-42.48
1329,51.11,0.0,3.82,25.28,-1.0,32.61,3.682145076373832,1.22,37.485,29.984285714285715,76.27,-51.21
1330,49.07,0.0,3.81,25.23,-1.0,16.9,6.2391219703552405,4.56,38.525,29.984285714285715,66.66,-50.82
1369,51.11,0.0,3.82,25.3,-1.0,16.95,6.071128699937522,4.56,39.545,29.984285714285715,76.27,-51.21
1370,55.05,90.0,6.39,25.12,-1.0,4.33,4.2484392081415105,2.54,15.315,29.984285714285715,8.23,-26.65
1371,55.05,90.0,6.14,24.98,-1.0,4.13,4.315655525231531,2.54,14.795,29.984285714285715,8.22,-13.91
1372,55.05,90.0,6.14,25.05,10.0,-23.6,2.693726948923647,2.73,15.76,29.984285714285715,8.22,-13.91
1373,55.05,90.0,6.09,25.18,-1.0,7.2,2.45484486000851,0.84,15.455,29.984285714285715,8.11,-22.69
1374,55.05,90.0,6.0,25.04,10.0,-23.05,2.8488047010518036,2.73,15.32,29.984285714285715,8.81,-23.0
1375,55.05,90.0,6.17,25.11,10.0,-23.75,2.690196080028514,2.73,15.48,29.984285714285715,7.88,-13.91
1376,55.05,90.0,6.1,25.13,-1.0,4.13,3.9146604305892216,2.54,14.48,29.984285714285715,8.22,-22.69
1377,55.05,90.0,6.09,24.98,10.0,-23.34,2.439332693830263,2.73,16.13,29.984285714285715,8.25,-22.69
1378,55.05,90.0,6.06,25.1,-1.0,7.14,0.7781512503836436,0.84,15.665000000000001,29.984285714285715,8.25,-22.69
1379,55.05,90.0,6.11,25.14,-1.0,4.14,4.00650882777529,2.54,16.185000000000002,27.6,8.22,-22.69
1380,55.05,90.0,5.98,25.03,10.0,-22.96,2.6866362692622934,2.73,15.81,27.5,8.81,-23.0
1381,55.05,90.0,6.12,25.07,10.0,-22.96,2.2329961103921536,2.73,14.98,29.984285714285715,8.22,-22.69
1382,55.05,90.0,6.07,25.12,-1.0,7.16,2.568201724066995,0.84,15.975,29.984285714285715,8.25,-22.69
1383,55.05,90.0,6.09,25.08,-1.0,4.12,3.994449137014036,2.54,15.149999999999999,29.984285714285715,8.25,-22.69
1384,55.05,90.0,6.18,25.1,10.0,-23.79,2.1931245983544616,2.73,15.4,29.984285714285715,7.88,-13.91
1385,55.05,90.0,6.01,25.12,10.0,-20.67,4.397679353778606,2.73,15.5,29.984285714285715,8.81,-23.0
1386,55.05,90.0,6.31,25.14,10.0,-21.72,3.714078164981856,2.73,15.52,29.984285714285715,9.15,-26.59
1387,55.05,90.0,6.04,25.13,10.0,-17.46,6.3829077837185055,3.86,16.61,27.5,8.25,-22.69
1388,55.05,90.0,6.09,25.1,-1.0,7.18,2.3710678622717363,0.84,14.835,29.984285714285715,8.25,-22.69
1389,55.05,90.0,6.08,25.18,-1.0,7.18,2.290034611362518,0.84,14.51,29.984285714285715,8.11,-22.69
1390,55.05,90.0,6.0,25.14,10.0,-17.19,6.193868664274395,4.94,14.91,29.984285714285715,8.81,-23.0
1391,55.05,90.0,6.17,24.99,-1.0,4.15,4.032659046039924,2.54,15.809999999999999,29.984285714285715,7.88,-13.91
1392,55.05,90.0,6.07,25.06,10.0,-20.8,4.510531605849078,2.73,16.05,29.984285714285715,8.25,-22.69
1393,55.05,90.0,6.1,25.06,10.0,-20.91,4.016615547557177,2.73,16.62,29.984285714285715,9.39,-22.69
1394,55.05,90.0,6.17,25.02,10.0,-28.01,0.0,0.02,15.15,29.984285714285715,7.88,-13.91
1395,55.05,90.0,6.21,24.96,-1.0,7.28,2.5728716022004803,0.84,15.315000000000001,29.984285714285715,8.5,-13.91
1396,55.05,90.0,6.06,25.13,0.1,4.57,3.8534548413680665,3.41,14.85,29.984285714285715,8.25,-22.69
