nr,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,smean
1700,6.92,10.08,69.75,126.0,0.0,-30.01,-430.16,0.0,-215.08
1701,6.95,10.03,69.71,126.0,0.0,-33.28,-477.36,0.0,-238.68
1702,6.83,9.99,68.23,126.0,0.0,-31.62,-463.36,0.0,-231.68
1703,6.91,10.14,70.07,126.0,0.0,-31.32,-447.04,0.0,-223.52
1704,6.79,10.02,68.04,126.0,0.0,-30.37,-446.4,0.0,-223.2
1856,6.818,10.086,68.77,126.0,0.0,-29.54,-429.57,0.0,-214.785
1857,6.922,10.024,69.39,126.0,0.0,-31.13,-448.61,0.0,-224.305
1858,6.919,10.134,70.12,126.0,0.0,-31.86,-454.38,0.0,-227.19
1859,6.858,10.167,69.73,126.0,0.0,-33.08,-474.43,0.0,-237.215
1860,6.838,10.105,69.1,126.0,0.0,-32.23,-466.4,0.0,-233.2
1861,6.843,10.142,69.4,126.0,0.0,-30.4,-437.96,0.0,-218.98
1862,6.909,10.073,69.59,126.0,0.0,-32.35,-464.8,0.0,-232.4
2135,6.49,25.05,162.32,150.0,0.0,-70.2,-432.13,0.0,-216.065
2136,6.73,25.11,168.53,150.0,0.0,-71.2,-421.64,0.0,-210.82
2142,6.29,25.14,157.94,150.0,10.0,-53.0,-335.23,4.439506376888728,-184.37650000000002
2143,6.38,25.21,160.52,150.0,10.0,-44.2,-275.08,6.068555040694015,-151.294
2145,6.45,25.06,161.38,150.0,10.0,-52.8,-326.98,5.185034756724982,-179.83900000000003
2146,6.46,25.22,162.6,150.0,10.0,-44.2,-271.56,6.155222134116443,-149.358
2147,6.49,25.04,162.32,150.0,10.0,-43.98,-270.84,6.1419468109259,-148.962
2148,6.57,25.33,166.22,150.0,10.0,-44.42,-266.92,6.324799595776807,-146.806
2149,6.59,25.4,167.25,150.0,10.0,-44.9,-268.24,4.8823024958187755,-147.532
2150,6.64,25.31,167.93,150.0,10.0,-49.3,-293.35,4.996607976784119,-161.34250000000003
2151,6.67,25.26,168.22,150.0,10.0,-53.2,-315.82,3.6214878645806303,-173.70100000000002
2152,6.69,25.38,169.52,150.0,10.0,-49.9,-293.95,5.337932234876929,-161.6725
2153,6.69,25.1,167.79,150.0,10.0,-52.9,-315.03,3.723291446477584,-173.2665
2154,6.75,25.19,169.76,150.0,10.0,-49.0,-288.24,4.881555829793312,-158.532
2155,6.8,25.16,170.88,150.0,10.0,-49.0,-286.4,4.316389751073196,-157.52
2302,6.72,25.17,169.02,150.0,10.0,-44.29,-261.99,4.998097974154078,-144.0945
2602,6.84,25.08,171.56,150.0,2.0,-75.2,-438.68,3.772028165324855,-329.01
2605,6.8,24.95,169.86,150.0,2.0,-70.0,-412.59,4.875645719848249,-309.4425
2606,6.88,24.96,171.92,150.0,2.0,-70.0,-407.48,5.3661034231187825,-305.61
2607,6.92,24.98,173.0,150.0,2.0,-76.0,-439.75,4.4919496945765545,-329.8125
2610,6.52,25.27,164.5,150.0,10.0,-44.3,-269.13,6.129281824572188,-148.0215
2625,6.75,25.1,169.22,150.0,10.0,-48.9,-288.62,5.109183554169652,-158.741
2629,6.4,25.07,160.45,150.0,-2.5,15.28,-238.08,5.889618201838019,-71.424
2779,6.82,24.72,168.45,150.0,10.0,-52.12,-309.15,5.0067355207188475,-170.0325
2788,6.84,25.05,171.27,150.0,0.0,-81.62,-476.36,0.0,-238.18
2793,6.77,24.74,167.34,150.0,0.0,-71.49,-427.13,0.0,-213.565
2802,6.72,24.82,166.37,150.0,0.0,-84.55,-507.28,0.0,-253.64
2805,6.84,25.02,171.01,150.0,10.0,-52.73,-307.97,5.42141635011384,-169.38350000000003
2813,6.78,24.91,168.48,150.0,10.0,-52.44,-310.56,5.18782518424518,-170.80800000000002
2846,6.73,25.29,170.68,150.0,2.0,-70.0,-411.58,5.6276300403193495,-308.685
3148,6.7,24.87,166.48,150.0,2.0,-65.0,-390.44,5.4641928620343245,-292.83
3215,6.61,25.41,167.83,150.0,0.0,-75.76,-451.4,0.0,-225.7
3216,6.63,25.38,168.07,150.0,0.0,-78.45,-466.77,0.0,-233.385
3217,6.76,25.2,170.22,150.0,0.0,-73.32,-430.74,0.0,-215.37
3218,6.77,25.16,170.06,150.0,0.0,-70.76,-416.08,0.0,-208.04
3232,6.81,25.29,172.1,150.0,0.0,-72.8,-423.01,0.0,-211.505
3670,6.45,25.2,162.54,150.0,-2.5,-24.44,-150.3629876,6.5215039403903985,-45.108896279999996
3671,6.37,25.3,161.16,150.0,-2.5,-44.32,-274.9982936,3.4401216031878037,-82.49948808
3672,6.53,25.2,164.56,150.0,-2.5,-41.13,-249.9453074,4.969154884451621,-74.98359221999999
3673,6.43,25.3,162.68,150.0,-2.5,-48.8,-299.9772558,3.484299839346786,-89.99317674000001
