nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,Lnominal,R-value1,smax,Ncycles,f,E,Temp.
461,53.31,0.0,3.8,25.0,145.0,-1.0,263.16,3.290479813330673,5.0,38.900000000000006,27.387671232876706
462,53.31,0.0,3.9,25.0,145.0,-1.0,153.85,6.473181761847048,5.0,37.55,27.387671232876706
463,53.31,0.0,3.9,25.0,145.0,-1.0,190.29,4.575199395159225,5.0,32.71769762845849,27.387671232876706
464,53.31,0.0,3.8,25.0,145.0,0.1,390.6,4.24062412018726,5.0,32.71769762845849,27.387671232876706
465,53.31,0.0,3.8,25.0,145.0,0.1,341.77,4.633801623517603,5.0,32.71769762845849,27.387671232876706
466,53.31,0.0,3.8,25.0,145.0,0.1,292.95,5.3559014819344775,5.0,32.71769762845849,27.387671232876706
467,53.31,0.0,3.8,25.0,145.0,0.1,244.12,5.989951458347746,5.0,32.71769762845849,27.387671232876706
468,53.31,0.0,3.8,25.0,145.0,-1.0,210.53,4.569993887567447,5.0,37.65,27.387671232876706
469,53.31,0.0,3.8,25.0,145.0,0.1,341.77,4.373132774549157,5.0,32.71769762845849,27.387671232876706
547,52.55,0.0,3.74,24.84,145.0,-1.0,215.28,4.239799818447099,5.0,38.019999999999996,27.387671232876706
548,52.55,0.0,3.92,24.71,145.0,-1.0,258.1,2.9934362304976116,5.0,36.57,27.387671232876706
549,52.55,0.0,3.78,24.88,145.0,-1.0,265.83,3.163757523981956,5.0,39.095,27.387671232876706
551,52.55,0.0,3.7,24.99,145.0,-1.0,213.06,5.235639531288081,5.0,32.71769762845849,27.387671232876706
552,52.55,0.0,3.74,24.8,145.0,-1.0,246.36,3.4092566520389096,5.0,32.71769762845849,31.4
553,52.55,0.0,3.66,24.8,145.0,-1.0,378.99,3.311753861055754,5.0,32.71769762845849,34.4
554,52.55,0.0,3.7,25.03,145.0,-1.0,195.44,5.92641705242081,5.0,32.71769762845849,35.4
555,50.87,0.0,3.65,24.75,145.0,-1.0,199.25,5.612730890748342,5.0,32.71769762845849,27.387671232876706
556,50.87,0.0,3.72,24.8,145.0,-1.0,297.98,5.011709970528454,5.0,32.71769762845849,27.387671232876706
557,50.87,0.0,3.71,24.78,145.0,-1.0,270.85,2.9532763366673045,5.0,32.71769762845849,31.4
558,50.87,0.0,3.65,24.77,145.0,-1.0,243.03,4.964542466079137,5.0,32.71769762845849,32.8
