Temperature,Fiber orientation,Fiber volume ,Youngs Modulus,Thickness,Width,Length,Max Stress,R,log(Nf)
0.064575973,0.881653434,1.451989154,-1.854059151,0.415526606,-0.149627361,1.982207295,1.451989154,-0.272674082,2
0.064575973,0.881653434,1.113189334,-1.727866643,0.380650257,-0.060671849,1.982207295,1.113189334,-0.272674082,2.86923172
-0.327783654,0.881653434,-1.649131385,1.339582004,0.423276906,-0.089699437,-0.306842061,-1.649131385,2.374382369,6
-0.327783654,0.881653434,-1.87063051,0.368870407,0.423276906,-0.070971961,-0.306842061,-1.87063051,2.374382369,3.816638945
-0.327783654,0.881653434,-1.818531296,0.65037677,0.411651456,-0.080335699,-0.306842061,-1.818531296,2.374382369,4.506342649
-0.327783654,0.881653434,-1.710703184,-0.397991755,0.493029604,-0.080335699,-0.306842061,-1.710703184,2.374382369,6.584784396
-0.327783654,0.881653434,-1.810209586,1.378410468,0.326398158,-0.070971961,-0.306842061,-1.810209586,2.374382369,5.760319175
-0.327783654,0.881653434,-1.763820481,-0.029121348,0.423276906,-0.099063175,-0.306842061,-1.763820481,2.374382369,4.457063988
-0.327783654,0.881653434,-1.76461724,0.291213479,0.462028405,-0.099063175,-0.306842061,-1.76461724,2.374382369,4.777245526
-0.327783654,0.881653434,-1.731241872,-0.203849435,0.442652655,-0.099063175,-0.306842061,-1.731241872,2.374382369,5.240963378
-0.327783654,0.881653434,-1.747752498,0.194142319,0.423276906,-0.089699437,-0.306842061,-1.747752498,2.374382369,4.644418893
-0.327783654,0.881653434,-1.726638373,-0.009707116,0.423276906,-0.089699437,-0.306842061,-1.726638373,2.374382369,5.184918454
0.064575973,0.881653434,1.057814552,-27.80118015,0.493029604,-0.074717456,1.982207295,1.057814552,-0.272674082,3.871514559
0.064575973,0.881653434,1.055689861,-27.80118015,0.469778704,-0.051308111,1.982207295,1.055689861,-0.272674082,3.597914471
0.064575973,0.881653434,1.048076382,-27.80118015,0.481404154,-0.088763063,1.982207295,1.048076382,-0.272674082,3.155032229
0.064575973,0.881653434,0.529385985,-27.80118015,0.516280503,-0.080335699,1.982207295,0.529385985,-0.272674082,6.372628699
0.064575973,0.881653434,1.179497425,-27.80118015,0.392275706,-0.080335699,1.982207295,1.179497425,-0.272674082,3.302330929
0.064575973,0.881653434,0.574757009,-27.80118015,0.407776306,-0.099063175,1.982207295,0.574757009,-0.272674082,6.083159205
0.064575973,0.881653434,1.537685058,-27.80118015,0.318647858,-0.098126801,1.982207295,1.537685058,-0.272674082,1.819543936
0.064575973,0.881653434,1.18967824,-27.80118015,0.376775107,-0.096254054,1.982207295,1.18967824,-0.272674082,3.930796263
