nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,E,Temp.
900,-0.20548530610444204,-0.6985485815124703,-0.7077541392340225,-1.9487291100882456,-0.7617729671936025,-0.1666666666666665,-0.6341194130587345,0.7065295294179382,0.7553526400731233,4.656835780078811,-0.7009210516702031,0.7977541135049864,0.16285540675319568
1326,-0.20683422496289544,-0.6985485815124703,-0.6660618877586861,0.2909153208396136,-0.6494811403761438,-0.1666666666666665,-0.6341194130587345,0.9881076282759108,1.0175960334550356,3.5089335260500327,-1.1658746576586048,0.6905228224016365,-0.014244016750065933
1329,-0.1447839574740269,-0.6985485815124703,-0.6827387883488207,0.7388442070251825,-0.6521155527354977,-0.1666666666666665,-0.6341194130587345,0.9933848617217095,1.024365851103927,3.682145076373832,-1.1658746576586048,0.6046506096074908,-0.014244016750065933
901,-0.25539530386722714,-0.6985485815124703,-0.7244310398241571,-1.9894499179233038,-0.7772501398048065,-0.1666666666666665,-0.6341194130587345,0.4238205948215803,0.4481576575025724,5.609812035461795,0.55087711829857,0.7083947042521946,1.1037816328621015
1769,0.5944235769585801,0.7644493910891185,1.1767356274511855,0.4130777443447595,1.1863749725485782,-0.1666666666666665,-0.39511345431673267,-0.034544824470648064,-0.14561337731362034,5.3612158221214585,0.980065062287864,-1.5255905270675862,-0.014244016750065933
892,0.15197819138577898,-0.6985485815124703,-0.7160925895290899,-0.0755719496758677,-0.7100726246412827,-0.1666666666666665,1.7559401743612837,-1.743614570417164,-1.911762090228682,6.0,-0.8797493616657422,1.0191910886289763,-0.014244016750065933
1166,-0.18525152322763636,-0.6985485815124703,-0.6577234374636187,-1.9487291100882456,-0.7133656400904749,-0.1666666666666665,-0.6341194130587345,0.6929595005573131,0.7246370102832962,4.487308099109349,-0.7009210516702031,0.5863428281996018,0.20801986560642327
904,-0.25539530386722714,-0.6985485815124703,-0.7327694901192245,-1.622962647407837,-0.7788966475294026,-0.1666666666666665,-0.6341194130587345,0.5180569063536996,0.5527223266737346,5.439094161184332,-0.027334417353672803,0.7454461666253036,-0.014244016750065933
2214,0.013039548965051702,-0.6985485815124703,-0.7327694901192245,0.5352401678499199,-0.7133656400904749,-0.1666666666666665,-0.6341194130587345,0.40082693480774323,0.40777085964290044,6.140644092283868,-0.5340146290077001,0.7716001400651453,-0.1524594263517444
1187,0.16411846111186143,-0.6985485815124703,-0.80781554277483,1.0238898618705472,-0.77132271199626,-0.1666666666666665,-0.6341194130587345,0.7065295294179382,0.758563467872312,5.115254277416048,-0.7009210516702031,1.0985248080631616,0.02736203019351319
1075,0.04946035814330002,-0.6985485815124703,-0.7160925895290899,-0.8085464907068013,-0.7354288436000636,-0.1666666666666665,-0.6341194130587345,0.44266785712800416,0.45883462705168115,5.502153892871361,1.0873620482851873,0.46429095214700905,-0.2132014416149973
893,0.15197819138577898,-0.6985485815124703,-0.7077541392340225,0.49451936001486163,-0.6899852304012096,-0.1666666666666665,1.7559401743612837,-1.6682255211914685,-1.8202341556156707,5.479330527707678,0.9979478932874176,0.9276521815895313,1.4425150742613078
1087,-0.20683422496289544,-0.6985485815124703,-0.7244310398241571,-0.31989679668617405,-0.7314772250610331,-0.1666666666666665,-0.6341194130587345,0.7065295294179382,0.7452172559359259,4.31722734917642,-0.7009210516702031,0.562368352546414,-0.08554911693955551
1650,-0.18390260436918296,-0.6985485815124703,-0.80781554277483,-1.3379169925624723,-0.8480499719624413,-0.1666666666666665,-0.39511345431673267,1.098929530637683,1.2275377499152271,4.273325424275121,0.10380634330972262,0.8143182966835524,1.5554262213943764
1083,-0.3687044879773342,-0.6985485815124703,-0.6744003380537533,0.4537985521798178,-0.6524448542804171,-0.1666666666666665,-0.6341194130587345,1.0834747755464156,1.1201104149953909,3.197280558125619,-1.285093530988964,0.4185214986272862,-0.16835062483713906
1654,-0.18390260436918296,-0.6985485815124703,-0.8828615954304356,-1.4600794160676327,-0.9237893272938646,-0.1666666666666665,-0.39511345431673267,1.0977986948992977,1.266067683505489,4.45638121798532,0.10380634330972262,0.7480615639692878,1.0397986494866958
1084,-0.3687044879773342,-0.6985485815124703,-0.6660618877586861,1.0238898618705472,-0.6267593337767169,-0.1666666666666665,-0.6341194130587345,1.0834747755464156,1.1089305447066502,2.7558748556724915,-1.285093530988964,0.407624009694019,0.3435132421661055
1390,0.38669007275671535,1.495948377389913,1.1350433759758491,0.16875289733445314,1.1290765037326322,-0.1666666666666665,1.7559401743612837,-0.8838024639981075,-0.7221697329654894,6.193868664274395,1.0515963862860798,-1.36343589174057,-0.014244016750065933
895,0.15197819138577898,-0.6985485815124703,-0.7494463907093588,1.1460522853756931,-0.709084720006525,-0.1666666666666665,1.7559401743612837,-1.743614570417164,-1.911143135472212,5.0802114725318805,0.7893148649592889,0.8230362878301664,-0.014244016750065933
891,0.15197819138577898,-0.6985485815124703,-0.6577234374636187,1.1053314775406493,-0.6155630812494628,-0.1666666666666665,1.7559401743612837,-2.1205598165456414,-2.259575978692581,0.3010299956639812,-0.2240455583487658,0.7480615639692878,-0.014244016750065933
1623,0.208632783440832,1.495948377389913,1.3768584345328008,1.6347019793963202,1.450474811573803,-0.1666666666666665,1.7559401743612837,-0.4265678804442644,-0.40282776329921327,5.731044549070627,-0.04521724835322659,-1.3974360572123639,-0.014244016750065933
1774,0.6038660089677548,1.495948377389913,1.393535335122935,0.49451936001486163,1.4027260875605148,-0.1666666666666665,-0.39511345431673267,0.052152582138901706,-0.09528461867814789,1.919078092376074,-1.094343333660389,-1.3625640926259086,-0.014244016750065933
1771,-7.0391082430306895,-0.6985485815124703,1.4018737854180028,1.1053314775406493,1.4458645899449343,-0.1666666666666665,1.7559401743612837,-3.100994401725811,-2.114624511661747,4.269396182694991,-1.5354531649827186,0.9956525125331189,0.3058761931217493
660,0.018435224398866232,-0.6985485815124703,-0.782800191889628,-0.8085464907068013,-0.8009598510389911,-0.1666666666666665,-0.6341194130587345,0.3936649751313021,0.4201499547723019,5.804564655426015,1.0873620482851873,0.7537282582145866,-0.1524594263517444
946,-0.36330881254351965,-0.6985485815124703,-0.6577234374636187,-0.8492672985418451,-0.6774717716942789,-0.1666666666666665,-0.6341194130587345,0.40497333251515644,0.4049468785665058,5.579934430609295,0.6820178789619656,0.712753699825502,-0.014244016750065933
1372,0.38669007275671535,1.495948377389913,1.2517816801067911,-0.19773437318101364,1.232147887292352,-0.1666666666666665,1.7559401743612837,-1.1254243667664614,-0.8742391796957295,2.693726948923647,-0.26577216401439147,-1.289332966994353,-0.014244016750065933
1163,-0.18525152322763636,-0.6985485815124703,-0.6493849871685515,-1.3379169925624723,-0.6863629134070981,-0.1666666666666665,-0.6341194130587345,0.7012522959721396,0.7248691183169724,4.608579514826188,-0.7009210516702031,0.6539072595858585,0.6535056642950758
1215,-0.18390260436918296,-0.6985485815124703,-0.7494463907093588,-1.4193586082325744,-0.7861412815176256,-0.1666666666666665,-0.6341194130587345,0.7065295294179382,0.76366984461319,4.793434145077811,-1.1777965449916405,0.759394952459886,1.0397986494866958
1385,0.38669007275671535,1.495948377389913,1.1433818262709163,0.08731128166435102,1.1386262485352898,-0.1666666666666665,1.7559401743612837,-1.0149794096508176,-0.8103321010901947,4.397679353778606,-0.26577216401439147,-1.3119997439755486,-0.014244016750065933
1777,0.6038660089677548,1.495948377389913,1.393535335122935,-0.0348511418408094,1.3780284716915723,-0.1666666666666665,-0.39511345431673267,0.0506448011543878,-0.09528461867814789,2.9222062774390163,-1.094343333660389,-1.3538461014792949,-0.014244016750065933
1626,0.208632783440832,1.495948377389913,1.3601815339426657,1.8790268264066268,1.4461938914898533,-0.1666666666666665,1.7559401743612837,-0.9241356053338546,-0.7214347241921811,5.177646141838193,1.0635182736191153,-1.3616922935112472,-0.40170032891214785
