nr,Fibre Volume Fraction,taverage,waverage,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,Temp.
953,49.07,3.76,25.26,145.0,0.1,35.0,368.26,13010.0,3.6,27.387671232876706
954,49.07,3.72,25.23,145.0,0.1,35.0,372.66,50128.0,3.6,31.2
955,49.07,3.85,25.2,145.0,-1.0,17.0,175.38,1420061.0,4.32,34.3
956,49.07,3.79,25.24,145.0,0.1,35.0,366.17,72545.0,3.6,25.8
957,50.65,3.84,25.18,145.0,0.1,54.0,558.85,976.0,1.5,32.0
958,50.65,3.88,25.21,145.0,0.1,64.0,653.87,202.0,1.0,27.387671232876706
1075,52.55,3.78,24.9,145.0,-1.0,18.0,191.24,317800.0,5.0,27.387671232876706
1078,49.45,3.88,25.31,145.0,-1.0,29.46,300.0,12809.0,1.5,30.4
1079,49.45,3.84,25.19,145.0,-1.0,28.99,300.0,1225.0,2.0,30.4
1080,49.45,3.85,25.28,145.0,-1.0,29.23,300.0,2405.0,1.75,32.0
1081,49.45,3.71,25.07,145.0,-1.0,27.92,300.0,16105.0,1.5,29.3
1082,49.45,3.88,25.25,145.0,-1.0,25.0,255.18,50281.0,2.0,29.8
1083,49.45,3.83,25.21,145.0,-1.0,35.0,362.18,1575.0,1.02,28.1
1084,49.45,3.84,25.35,145.0,-1.0,35.0,359.29,570.0,1.02,34.9
1085,49.45,3.83,25.22,145.0,-1.0,35.0,362.39,1001.0,1.02,33.0
1086,49.45,3.8,25.28,145.0,-1.0,25.0,260.21,35286.0,2.0,28.5
1087,50.65,3.77,25.02,145.0,-1.0,25.0,265.27,20760.0,2.0,29.2
1088,50.65,3.83,25.19,145.0,-1.0,20.0,207.48,304399.0,3.13,26.8
1089,53.09,3.73,25.46,145.0,-1.0,17.0,178.83,998797.0,4.33,28.0
1091,51.2,3.74,25.21,145.0,10.0,-44.31,-469.48,197825.0,3.35,27.387671232876706
1092,51.2,3.7,25.28,145.0,10.0,-43.97,-470.47,2008.0,3.31,27.387671232876706
1093,49.07,3.77,25.23,145.0,10.0,-43.04,-452.8,5616.0,3.57,31.5
1094,49.07,3.82,25.16,145.0,10.0,-43.55,-452.77,15990.0,3.57,32.0
1095,49.07,3.87,25.13,145.0,10.0,-40.81,-419.63,845622.0,4.16,33.8
1098,49.49,3.85,24.89,145.0,10.0,-45.11,-470.44,469.0,3.31,27.387671232876706
1099,51.2,3.76,25.21,145.0,10.0,-44.6,-470.46,398.0,3.31,27.387671232876706
1100,51.2,3.72,25.26,145.0,10.0,-43.76,-466.07,3284.0,3.37,27.387671232876706
1104,56.66,6.36,25.13,145.0,10.0,-23.03,-144.17,3654.0,3.0,27.387671232876706
1105,56.66,6.3,25.03,145.0,10.0,-24.68,-156.47,572.0,2.59,30.4
1106,56.66,6.39,24.85,145.0,10.0,-25.01,-157.59,568.0,2.59,28.8
1107,51.2,3.74,25.29,145.0,0.1,35.0,369.74,78760.0,3.6,27.387671232876706
1108,51.2,3.74,25.13,145.0,0.1,25.5,271.53,1812119.0,6.7,27.387671232876706
1109,51.2,3.82,25.1,145.0,0.1,54.0,562.82,961.0,1.5,27.387671232876706
1110,49.07,3.8,25.21,145.0,0.1,25.5,266.19,349482.0,6.7,28.0
1111,49.07,3.74,25.16,145.0,0.1,25.5,271.18,1830946.0,6.7,25.6
1112,49.07,3.83,25.25,145.0,0.1,25.5,263.48,1278329.0,6.7,27.387671232876706
1144,53.09,3.73,25.44,145.0,-1.0,17.0,179.15,1457815.0,4.33,26.5
1145,53.09,3.65,25.44,145.0,0.1,45.0,485.0,5285.0,2.16,26.8
1146,53.09,3.74,25.39,145.0,0.1,55.0,579.12,1213.0,1.5,26.3
1147,53.09,3.75,25.45,145.0,0.1,35.0,366.68,55253.0,3.57,25.3
1148,53.09,3.75,25.51,145.0,0.1,25.0,261.1,330217.0,5.0,25.0
1149,53.09,3.72,25.48,145.0,0.1,20.0,210.97,185426.0,5.0,23.0
1150,53.54,3.79,25.56,145.0,10.0,-20.0,-206.64,248843.0,5.0,23.3
1151,53.09,3.7,25.53,145.0,10.0,-40.0,-423.4,1.0,2.73,22.9
1152,53.09,3.77,25.22,145.0,10.0,-30.0,-315.57,613515.0,3.57,26.0
1153,53.09,3.75,25.49,145.0,10.0,-35.0,-366.48,451169.0,3.57,27.6
1154,53.54,3.76,25.46,145.0,10.0,-40.0,-418.16,4.0,2.73,21.5
1155,53.54,3.73,25.55,145.0,10.0,-25.0,-262.33,1310500.0,5.0,25.5
1156,52.55,3.73,24.71,145.0,-1.0,20.0,216.97,20937.0,5.0,27.387671232876706
1157,50.81,3.85,24.55,145.0,-1.0,17.01,179.97,682835.0,4.32,27.387671232876706
1158,50.81,3.75,24.71,145.0,-1.0,16.68,180.01,675361.0,4.32,27.387671232876706
1159,50.81,3.77,24.71,145.0,-1.0,16.77,180.02,658702.0,4.32,27.387671232876706
1160,50.81,3.8,24.59,145.0,-1.0,28.03,299.97,6753.0,1.52,27.387671232876706
1161,50.81,3.88,24.59,145.0,-1.0,24.81,260.04,25565.0,2.0,33.2
1162,50.81,3.95,24.67,145.0,-1.0,20.49,210.27,135051.0,3.13,27.387671232876706
1163,50.81,3.86,24.77,145.0,-1.0,24.86,260.01,40605.0,2.0,27.387671232876706
1164,50.81,3.82,24.68,145.0,-1.0,19.8,210.02,214983.0,3.13,31.9
1165,50.81,3.86,24.84,145.0,-1.0,20.14,210.05,167968.0,3.13,27.387671232876706
1166,50.81,3.85,24.62,145.0,-1.0,24.64,259.95,30712.0,2.0,33.1
1167,52.97,3.67,24.89,280.0,0.1,17.81,195.0,0.0,10.0,27.387671232876706
1168,52.97,3.72,24.85,280.0,0.1,20.01,216.45,1965500.0,8.3,27.387671232876706
1169,52.97,3.73,24.86,280.0,0.1,21.99,237.12,517120.0,6.8,27.387671232876706
1170,52.97,3.84,24.86,280.0,0.1,24.25,254.0,0.0,5.9,27.387671232876706
1171,53.62,3.7,24.83,280.0,0.1,25.28,275.22,153660.0,5.0,27.387671232876706
1172,53.62,3.75,24.93,280.0,0.1,27.39,293.0,0.0,4.4,27.387671232876706
1173,53.62,3.72,24.65,280.0,0.1,28.8,314.05,98160.0,3.8,27.387671232876706
1174,53.62,3.7,24.77,280.0,0.1,32.17,350.97,46580.0,2.92,27.387671232876706
1175,53.62,3.78,24.84,280.0,0.1,35.14,374.25,19080.0,2.7,27.387671232876706
1176,53.62,3.6,24.76,280.0,0.1,35.09,393.69,19260.0,2.42,27.387671232876706
1177,53.62,3.59,24.66,280.0,0.1,36.46,411.87,13460.0,2.14,27.387671232876706
1178,53.62,3.71,24.91,280.0,0.1,42.85,463.69,3800.0,1.84,27.387671232876706
1187,53.4,3.67,25.35,145.0,-1.0,25.0,268.72,130393.0,2.0,30.7
1188,53.4,3.62,25.36,145.0,-1.0,32.33,352.17,1941.0,2.0,30.5
1189,53.4,3.63,25.38,145.0,-1.0,32.33,350.92,2237.0,2.0,31.7
1190,53.4,3.67,25.48,145.0,-1.0,32.33,345.73,1673.0,2.0,29.2
1191,53.4,3.67,25.37,145.0,-1.0,32.33,347.23,2005.0,2.0,30.0
1206,53.31,3.71,25.25,145.0,-1.0,25.15,268.26,63605.0,1.0,34.2
1207,50.82,3.66,24.79,145.0,-1.0,20.0,220.15,433521.0,2.25,27.387671232876706
1208,50.82,3.73,24.8,145.0,-1.0,17.0,183.89,1502047.0,4.32,27.387671232876706
1209,50.82,3.68,24.75,145.0,-1.0,20.0,219.47,479546.0,2.25,27.387671232876706
1210,50.82,3.66,24.76,145.0,-1.0,28.0,309.15,41581.0,0.9,27.387671232876706
1212,50.82,3.73,24.8,145.0,-1.0,17.0,183.65,1063405.0,3.0,27.387671232876706
1213,50.82,3.66,25.07,145.0,-1.0,20.0,218.22,422882.0,2.25,27.387671232876706
1214,50.82,3.72,24.78,145.0,-1.0,17.0,184.35,1307035.0,3.0,27.387671232876706
1215,50.82,3.74,24.75,145.0,-1.0,25.0,270.04,62149.0,1.2,27.387671232876706
1216,50.82,3.65,24.82,145.0,-1.0,25.0,275.96,76709.0,1.2,27.387671232876706
1265,53.19,3.66,24.98,280.0,0.1,18.48,202.13,1468027.0,7.0,60.0
1266,53.19,3.79,24.95,280.0,0.1,24.55,259.62,182543.0,3.7,60.0
1267,53.19,3.69,24.96,280.0,0.1,44.54,483.59,3664.0,3.0,60.0
1268,53.19,3.77,24.89,280.0,0.1,31.23,332.82,18107.0,2.3,60.0
1269,53.19,3.76,24.96,280.0,0.1,34.63,368.99,12614.0,1.9,60.0
1270,53.19,3.78,24.83,280.0,0.1,39.16,417.23,6631.0,1.6,60.0
1283,52.28,3.81,24.89,280.0,0.1,18.84,198.67,5643500.0,7.0,27.387671232876706
1285,52.28,3.76,24.66,280.0,0.1,36.64,395.16,13700.0,1.6,27.387671232876706
1286,52.28,3.81,25.25,280.0,0.1,38.92,404.56,18300.0,1.6,27.387671232876706
1287,52.28,3.81,25.32,280.0,0.1,38.47,398.78,2100.0,1.6,27.387671232876706
1288,52.97,3.8,24.94,280.0,0.1,53.84,568.1,324.0,0.8,27.387671232876706
1295,56.66,6.36,24.97,145.0,10.0,-17.89,-112.71,354604.0,3.56,35.6
1296,56.66,6.36,24.96,145.0,10.0,-19.88,-125.16,187657.0,2.66,25.4
1297,56.66,6.3,25.12,145.0,10.0,-17.8,-112.45,393994.0,3.2,27.387671232876706
1298,56.66,6.35,25.11,145.0,10.0,-15.93,-99.97,1607683.0,3.53,27.387671232876706
1299,56.66,6.33,25.08,145.0,10.0,-19.01,-119.74,78117.0,2.45,27.387671232876706
1302,56.66,6.28,24.97,145.0,-1.0,2.35,15.0,450067.0,3.5,24.2
1303,56.66,6.37,25.13,145.0,-1.0,5.12,32.0,15461.0,1.8,26.7
1304,56.66,6.37,25.1,145.0,-1.0,3.2,20.02,212743.0,3.0,28.9
1306,56.66,6.4,25.08,145.0,-1.0,6.4,39.88,6.0,2.59,25.4
1307,56.66,6.27,25.06,145.0,-1.0,5.5,34.99,7530.0,1.55,24.2
1308,56.66,6.34,25.01,145.0,-1.0,3.96,25.0,111156.0,3.04,27.387671232876706
1309,56.66,6.26,25.12,145.0,-1.0,2.81,17.83,1400021.0,6.1,27.387671232876706
1310,56.66,6.32,25.08,145.0,0.1,5.7,36.0,20692.0,1.53,23.0
1311,56.66,6.26,25.01,145.0,0.1,5.01,32.0,18918.0,3.0,22.6
1312,56.66,6.34,25.11,145.0,0.1,4.3,26.99,120382.0,4.5,27.387671232876706
1313,56.66,6.31,25.04,145.0,0.1,6.0,38.0,13235.0,2.27,27.387671232876706
1314,54.75,6.36,25.03,145.0,0.1,3.82,24.0,393826.0,5.69,27.387671232876706
1315,51.2,3.74,25.3,145.0,-1.0,17.0,179.52,2000011.0,4.32,27.387671232876706
1316,51.2,3.76,25.13,145.0,-1.0,25.0,264.79,93347.0,2.0,27.387671232876706
1317,54.75,6.33,25.03,145.0,10.0,-21.67,-136.83,19268.0,2.73,27.387671232876706
1318,56.66,6.32,25.17,145.0,-1.0,4.26,26.76,45598.0,2.54,27.387671232876706
1319,56.66,6.33,25.09,145.0,-1.0,4.26,26.82,51941.0,2.54,27.387671232876706
1320,56.66,6.35,25.19,145.0,-1.0,4.26,26.63,54605.0,2.54,27.387671232876706
1321,56.66,6.27,25.15,145.0,0.1,3.31,21.0,1292567.0,7.44,27.387671232876706
1322,56.66,6.32,25.02,145.0,-1.0,4.26,26.95,15561.0,2.54,23.9
1323,56.66,6.35,25.1,145.0,-1.0,7.48,46.93,511.0,0.84,21.9
1324,56.66,6.49,24.95,145.0,10.0,-21.55,-133.09,23541.0,2.73,22.4
1325,49.07,3.79,25.23,145.0,-1.0,32.55,340.37,4300.0,1.22,33.6
1326,50.65,3.84,25.17,145.0,-1.0,32.47,335.68,3228.0,1.22,27.387671232876706
1327,51.11,3.74,25.44,145.0,-1.0,32.81,344.64,5787.0,1.22,27.387671232876706
1328,50.66,3.86,24.92,145.0,-1.0,32.15,333.91,3797.0,1.22,27.387671232876706
1329,51.11,3.82,25.28,145.0,-1.0,32.61,337.43,4810.0,1.22,27.387671232876706
1330,49.07,3.81,25.23,145.0,-1.0,16.9,175.97,1734291.0,4.56,27.387671232876706
1369,51.11,3.82,25.3,145.0,-1.0,16.95,175.53,1177955.0,4.56,27.387671232876706
1370,55.05,6.39,25.12,145.0,-1.0,4.33,26.95,17719.0,2.54,27.387671232876706
1371,55.05,6.14,24.98,145.0,-1.0,4.13,26.95,20685.0,2.54,27.387671232876706
1372,55.05,6.14,25.05,145.0,10.0,-23.6,-153.36,494.0,2.73,27.387671232876706
1373,55.05,6.09,25.18,145.0,-1.0,7.2,46.91,285.0,0.84,27.387671232876706
1374,55.05,6.0,25.04,145.0,10.0,-23.05,-153.35,706.0,2.73,27.387671232876706
1375,55.05,6.17,25.11,145.0,10.0,-23.75,-153.35,490.0,2.73,27.387671232876706
1376,55.05,6.1,25.13,145.0,-1.0,4.13,26.95,8216.0,2.54,27.387671232876706
1377,55.05,6.09,24.98,145.0,10.0,-23.34,-153.34,275.0,2.73,27.387671232876706
1378,55.05,6.06,25.1,145.0,-1.0,7.14,46.92,6.0,0.84,27.387671232876706
1379,55.05,6.11,25.14,145.0,-1.0,4.14,26.95,10151.0,2.54,27.6
1380,55.05,5.98,25.03,145.0,10.0,-22.96,-153.36,486.0,2.73,27.5
1381,55.05,6.12,25.07,145.0,10.0,-22.96,-149.61,171.0,2.73,27.387671232876706
1382,55.05,6.07,25.12,145.0,-1.0,7.16,46.92,370.0,0.84,27.387671232876706
1383,55.05,6.09,25.08,145.0,-1.0,4.12,26.95,9873.0,2.54,27.387671232876706
1384,55.05,6.18,25.1,145.0,10.0,-23.79,-153.35,156.0,2.73,27.387671232876706
1385,55.05,6.01,25.12,145.0,10.0,-20.67,-136.84,24985.0,2.73,27.387671232876706
1386,55.05,6.31,25.14,145.0,10.0,-21.72,-136.84,5177.0,2.73,27.387671232876706
1387,55.05,6.04,25.13,145.0,10.0,-17.46,-115.01,2414948.0,3.86,27.5
1388,55.05,6.09,25.1,145.0,-1.0,7.18,46.93,235.0,0.84,27.387671232876706
1389,55.05,6.08,25.18,145.0,-1.0,7.18,46.93,195.0,0.84,27.387671232876706
1390,55.05,6.0,25.14,145.0,10.0,-17.19,-114.05,1562675.0,4.94,27.387671232876706
1391,55.05,6.17,24.99,145.0,-1.0,4.15,26.95,10781.0,2.54,27.387671232876706
1392,55.05,6.07,25.06,145.0,10.0,-20.8,-136.84,32399.0,2.73,27.387671232876706
1393,55.05,6.1,25.06,145.0,10.0,-20.91,-136.84,10390.0,2.73,27.387671232876706
1394,55.05,6.17,25.02,145.0,10.0,-28.01,-181.42,1.0,0.02,27.387671232876706
1395,55.05,6.21,24.96,145.0,-1.0,7.28,46.92,374.0,0.84,27.387671232876706
1396,55.05,6.06,25.13,145.0,0.1,4.57,30.0,7136.0,3.41,27.387671232876706
1397,55.05,6.27,24.97,145.0,-1.0,7.34,46.93,545.0,0.84,27.387671232876706
1623,53.73,6.29,25.5,145.0,10.0,-5.06,-31.5,538325.0,3.1,27.387671232876706
1624,53.73,6.23,25.52,145.0,-1.0,2.81,17.69,2505205.0,5.89,27.6
1625,53.73,6.21,25.51,145.0,10.0,-18.05,-113.86,107930.0,4.96,27.387671232876706
1626,53.73,6.27,25.56,145.0,10.0,-18.26,-113.86,150538.0,4.96,25.0
1627,53.73,6.35,25.46,145.0,0.1,4.97,30.74,145420.0,3.25,21.8
1649,50.87,3.61,24.85,145.0,0.1,26.08,290.94,526177.0,6.19,38.0
1650,50.82,3.67,24.77,145.0,0.1,35.41,389.95,18764.0,3.35,51.0
1651,50.87,3.58,24.83,145.0,0.1,26.06,293.17,533113.0,6.19,27.387671232876706
1652,50.87,3.63,24.86,145.0,0.1,35.55,394.24,22067.0,3.35,27.387671232876706
1653,50.87,3.6,24.93,145.0,0.1,26.17,291.92,255280.0,6.19,27.387671232876706
1654,50.82,3.58,24.74,145.0,0.1,35.38,399.91,28601.0,3.35,27.387671232876706
1655,50.82,3.64,24.85,145.0,0.1,44.96,496.5,3722.0,2.09,49.0
1656,50.82,3.68,24.75,145.0,0.1,44.8,492.41,2522.0,2.09,27.387671232876706
1657,50.82,3.62,24.8,145.0,0.1,44.89,500.68,2965.0,2.09,27.387671232876706
1658,50.82,3.68,24.66,145.0,-1.0,16.52,181.88,1795752.0,4.56,27.387671232876706
1659,50.82,3.76,24.83,145.0,-1.0,16.64,178.42,1829136.0,4.56,27.387671232876706
1660,50.87,3.71,24.8,145.0,-1.0,16.62,180.73,1488745.0,4.56,49.0
1661,50.87,3.7,24.73,145.0,-1.0,23.99,262.52,3653.0,2.17,27.387671232876706
1662,50.87,3.62,24.86,145.0,-1.0,24.12,267.87,66715.0,2.17,27.387671232876706
1663,50.87,3.64,24.85,145.0,-1.0,24.1,266.43,60877.0,2.17,44.0
1664,50.87,3.6,24.86,145.0,-1.0,39.26,439.26,428.0,0.82,27.387671232876706
1665,50.87,3.67,24.84,145.0,-1.0,39.22,430.31,352.0,0.82,27.387671232876706
1666,50.87,3.8,24.83,145.0,-1.0,39.23,415.56,252.0,0.82,45.0
1769,56.59,6.05,25.2,145.0,0.1,5.34,34.99,229729.0,4.82,27.387671232876706
1770,0.0,6.4,25.29,145.0,10.0,-76.67,-474.0,78266.0,0.6,38.8
1771,0.0,6.32,25.37,145.0,10.0,-76.01,-474.0,18595.0,0.6,34.4
1772,56.66,6.27,25.22,145.0,-1.0,2.8,17.69,470047.0,5.89,27.387671232876706
1773,56.66,6.28,25.24,145.0,0.1,7.6,48.0,4.0,0.02,27.387671232876706
1774,56.66,6.31,25.22,145.0,0.1,7.64,48.0,83.0,1.34,27.387671232876706
1775,56.66,6.32,25.24,145.0,0.1,7.66,48.0,113.0,1.34,27.387671232876706
1776,56.66,6.31,25.35,145.0,0.1,7.68,48.0,756.0,1.34,27.387671232876706
1777,56.66,6.31,25.09,145.0,0.1,7.6,48.0,836.0,1.34,27.387671232876706
1778,0.0,6.35,25.17,145.0,10.0,-77.56,-485.1,80.0,0.5,27.387671232876706
1779,0.0,6.25,25.34,145.0,10.0,-80.0,-504.79,875.0,2.0,27.387671232876706
1780,53.73,6.52,25.03,145.0,-1.0,4.29,26.29,47141.0,2.67,27.387671232876706
1789,53.73,6.3,25.37,145.0,0.1,5.04,31.5,90546.0,3.1,27.387671232876706
1790,56.59,6.06,25.19,145.0,0.1,8.29,54.35,3964.0,1.5,27.0
1791,56.59,6.14,25.21,145.0,0.1,8.41,54.35,2416.0,2.0,27.3
1792,56.59,6.07,25.2,145.0,0.1,8.31,54.35,3972.0,2.0,27.387671232876706
1793,56.59,6.05,25.19,145.0,0.1,8.29,54.35,3709.0,1.0,27.387671232876706
1794,56.59,6.05,25.19,145.0,0.1,8.29,54.35,2358.0,2.0,27.387671232876706
1795,56.59,6.21,25.23,145.0,0.1,44.35,282.92,1194.0,1.5,27.387671232876706
1796,56.59,6.13,25.19,145.0,0.1,43.69,283.03,1362.0,1.5,27.387671232876706
1797,56.59,6.15,25.23,145.0,0.1,43.92,282.92,1533.0,1.5,31.8
1798,56.59,6.08,25.09,145.0,0.1,43.13,282.92,1175.0,1.5,27.387671232876706
1799,56.59,6.17,25.11,145.0,0.1,43.81,282.92,1033.0,1.5,34.2
1800,53.73,6.34,25.18,145.0,0.1,4.96,31.1,35879.0,3.1,27.387671232876706
1801,53.73,6.29,25.42,145.0,0.1,4.98,31.12,54558.0,3.1,27.387671232876706
1802,53.73,6.39,25.5,145.0,0.1,5.07,31.1,155609.0,3.1,27.387671232876706
1920,56.59,6.06,25.18,145.0,0.1,5.14,33.67,569373.0,5.2,27.387671232876706
1921,56.59,6.13,25.16,145.0,0.1,5.2,33.7,350731.0,5.2,27.387671232876706
1922,53.73,6.25,25.48,145.0,0.1,6.48,40.67,8165.0,1.86,27.387671232876706
1923,53.73,6.28,25.55,145.0,0.1,6.52,40.67,8846.0,1.86,27.387671232876706
1924,53.73,6.27,25.5,145.0,0.1,6.51,40.67,9836.0,1.86,27.387671232876706
1925,53.73,6.23,25.5,145.0,-1.0,2.81,17.69,5038477.0,5.89,27.387671232876706
1926,56.66,6.32,25.18,145.0,-1.0,5.67,35.65,5010.0,1.45,27.387671232876706
1927,56.66,6.38,25.13,145.0,-1.0,5.72,35.65,3389.0,1.45,27.387671232876706
1928,56.66,6.33,25.03,145.0,-1.0,5.65,35.65,8185.0,1.45,27.387671232876706
1929,0.0,6.37,25.04,145.0,10.0,-71.77,-450.02,12758.0,0.67,27.387671232876706
1930,0.0,6.34,25.3,145.0,10.0,-68.52,-427.0,1382817.0,0.74,29.9
