nr,taverage,waverage,area,Lnominal,Fmax,smax,smean
1829,0.11674820502512097,0.09427911441370147,0.11465915889064898,-0.12144980240407999,0.7943536687127336,0.7934166358262192,0.8270584350292352
1859,-0.040461593267044835,-5.030732203617057,-4.009041181264576,-0.9201138271781144,-1.3627871072174325,-2.103905220838265,-1.9320487079408177
403,-0.5496846355612313,0.14304561917305098,-0.23660865766099748,-0.787003156382442,-0.09862730087431784,-0.01032645459514616,-0.5282166506302035
1690,-0.44715650624025327,0.20922873277502546,-0.12631296099631695,-0.8099532720368683,-1.528780127381635,-1.406490999455517,-1.3418728938170974
986,-0.17374816138431406,0.257995237534375,0.07070072906052277,-0.8099532720368683,1.0087613197581615,1.004365406107684,1.0279440416957983
2540,-0.7376528726496883,0.47047786541439673,-0.16108008277105237,1.3014573681703492,1.1939664950339612,1.2262204981403337,1.2392156916588652
1067,-0.31045233381228365,0.20574541100649998,-0.05078438610637182,-0.8099532720368683,-0.150884362777863,-0.07744228075628386,-0.5282166506302035
989,-0.1908361829378114,0.23012866338617471,0.04192793862625823,-0.8099532720368683,0.9847461258686646,0.9885186138196376,1.0128532095555791
539,-0.15666013983081825,0.21967869808059948,0.05231811294974343,-0.8099532720368683,-0.24694513833585044,-0.17643812434396206,-0.5282166506302035
701,-0.1395721182773224,0.20574541100649998,0.05231811294974343,-0.8099532720368683,0.9922388663621877,0.9931172907973452,1.017232509862937
2285,-0.9427091312916427,0.27889516814552423,-0.3668854587939173,1.3014573681703492,1.179365257149147,1.286780102394064,1.2968863423280554
1688,-0.3958924415797643,0.188328802163875,-0.11192656577918411,-0.8099532720368683,-1.6911228380746337,-1.5618206360201132,-1.5045846131422949
519,-0.43006848468675746,0.20922873277502546,-0.1163224087621973,-0.8099532720368683,0.9614994181836318,1.0043343339659427,1.0279144518288568
2181,-0.25918826915179466,0.2545119157658495,0.008759305208981636,-0.8099532720368683,0.24872846354336475,0.2960137908320098,0.0007436467647222083
373,-0.532596614007734,0.08034582733960197,-0.27377351197192284,-0.8099532720368683,-2.3668143333495175,-2.254574036141671,-2.0755299727406653
3215,-0.4642445277937491,0.27889516814552423,-0.08874848459602602,-0.8099532720368683,-2.1827618873804133,-2.032346078408126,-1.863903244374299
2734,-0.48133254934724645,0.1709121933212512,-0.1754664779881852,-0.8099532720368683,-0.42350484381143133,-0.33319707942865634,-0.3587732365757908
3178,0.8173570887184648,0.2754118463769987,0.6749293281800792,1.3014573681703492,-0.22024024273072992,-0.19110417524584028,-0.06872448385408617
3199,0.7831810456114716,0.28934513345109947,0.6665372643034184,1.3014573681703492,-0.21947175652626605,-0.18995450600141336,-0.06752017626956276
1115,0.6806529162904952,0.1325956538674757,0.4767167718551451,1.3014573681703492,1.5935793213551892,1.4328813128615039,1.4360178966874872
2891,-0.37880442002626846,0.21271205454354972,-0.08075604280873076,-0.8099532720368683,0.8831138253283138,0.9202841905558145,0.9478738617518127
2612,-0.9085330881846511,0.06989586203402672,-0.4999596145523915,-0.8099532720368683,-0.3053500898751068,-0.1966350164757859,-0.5282166506302035
2148,-0.532596614007734,0.25102859399732397,-0.1530876409837571,-0.8099532720368683,-1.5806529461829482,-1.4591272075652242,-1.397010651876086
837,-0.44715650624025327,0.23361198515470022,-0.10793034488553647,-0.8099532720368683,-0.08421818454061973,-0.008306765381963756,-0.5282166506302035
2291,-0.3958924415797643,0.21271205454354972,-0.09354394966840364,-0.8099532720368683,-0.24271846421129903,-0.16248673270213293,-0.2612331991894808
3253,0.1338362265786168,0.05247925319140296,0.09068183352876207,1.3014573681703492,0.7941615471616175,0.8159439385886382,0.8485110885618995
