nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E,Temp.
660,0.035589929140536,-0.6654351150195199,-0.7743930215317983,-0.8265494392510322,-0.7958411076215146,-0.1626500121580885,-0.6664452180610566,0.378815152635485,0.4121482976292011,1.1686461881925925,0.7208778675596439,-0.1279523622928739
1079,-0.3278019789259858,-0.6654351150195199,-0.657017529234217,0.3495171123995114,-0.6456048244505711,-0.1626500121580885,-0.6664452180610566,0.821676618139754,0.8568586410736416,-0.6447541944775457,0.4403507892752967,0.0223281295768578
1329,-0.1176171122394264,-0.6654351150195199,-0.6737854567053001,0.7145032836014004,-0.6456048244505711,-0.1626500121580885,-0.6664452180610566,0.9521207601353158,0.9970195383044048,-1.1162382939717816,0.5688330802803305,0.0041462248061583
1156,0.0647119287416854,-0.6654351150195199,-0.7492411303251739,-1.597075800677234,-0.7941792018342251,-0.1626500121580885,-0.6664452180610566,0.497728320752986,0.5459433512774821,1.1686461881925925,0.4830300278098411,-0.1860061959207426
1663,-0.1480052857362787,-0.6654351150195199,-0.8246968039450476,-1.0293195343631816,-0.8553373348064675,-0.1626500121580885,-0.6664452180610566,0.6454689235656389,0.7311519533889846,-0.5419948394595713,0.8022351660161186,1.0007500553670268
3747,0.1571426231279442,-0.6654351150195199,-0.7324732028540908,0.5117331884892367,-0.7134105805719705,-0.1626500121580885,-0.6664452180610566,0.6588016121121465,0.7020299164325982,-0.5238608356328697,0.7177658397498331,-4.956112845767237
1923,0.2141204484345412,1.564602717656261,1.3886696222379202,1.809461797207067,1.4729926731856928,-0.1626500121580885,-0.4330690947689176,0.0119860461396787,-0.11423207436461,-0.7293795456688187,-1.5122243736800955,0.0041462248061583
1099,-0.1062215471781064,-0.6654351150195199,-0.7240892391185494,0.430625150444374,-0.7070953385802716,-0.1626500121580885,1.667316014860333,-1.8300870308805195,-2.0282165627845905,0.1470973059550812,0.7737823403264225,0.0041462248061583
2368,0.5762461826053621,0.8212567734310006,1.2293743112626303,0.4711791694667981,1.2436496745397847,-0.1626500121580885,-0.4330690947689176,-0.0366602499083898,-0.1404069253302267,1.289539547037268,-1.5113352228772925,0.0041462248061583
1212,-0.1543361552147891,-0.6654351150195199,-0.7492411303251739,-1.2320896294753452,-0.7812163366933698,-0.1626500121580885,-0.6664452180610566,0.3896254406461669,0.4211728170608372,-0.0402874002541663,0.7253236215736594,1.011541473666183
