nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E,Temp.
1214,-0.1486741747597139,-0.6453493232614318,-0.7324913387513606,-1.2943391977419831,-0.7648479109247166,-0.16265001215808852,-0.628260603508007,0.3613690527922236,0.3959193208459673,-0.10543964435415523,0.6698934576525246,1.1045696650503523
1080,-0.3223648216504264,-0.6453493232614318,-0.6220703491320582,0.7760912471949224,-0.5899787293260642,-0.16265001215808852,-0.628260603508007,0.8179164476323908,0.8406316069750062,-0.8164828522485542,0.1205599785383987,0.11645843856951286
1206,0.16701174550150893,-0.6453493232614318,-0.7409852610297687,0.6518654204987033,-0.7134947731423869,-0.16265001215808852,-0.628260603508007,0.6656095489449105,0.7185808680062582,-1.2431087769851936,0.6604686185500767,0.2953756976853853
1928,0.5917297506722293,1.6402083205812863,1.484422375913098,-0.25912397527353037,1.4611260091563985,-0.16265001215808852,-0.628260603508007,-0.06232783448789884,-0.17588108509772543,-0.98713322214321,-1.439475293847796,-0.0342165093966637
1659,-0.1486741747597139,-0.6453493232614318,-0.6985156496377294,-1.0872961532483043,-0.7312837685833247,-0.16265001215808852,-0.628260603508007,0.3479302087903871,0.3731165205282397,0.7819422790980545,0.767732263573178,1.1045696650503523
1153,0.1391198168037304,-0.6453493232614318,-0.7070095719161371,1.6456720340684114,-0.6547575240449509,-0.16265001215808852,1.785255378285129,-1.5797973030286017,-1.7222031916352991,0.2187960584456906,0.38669948271705584,-0.24137607966223137
2713,-0.11190754147627845,-0.6453493232614318,-0.6815278050809136,1.0245429005873457,-0.645023922765947,-0.16265001215808852,1.785255378285129,-1.7716741312770448,-1.924352131382844,0.07089907120365575,0.6972703712358266,-0.1763152581655508
2367,0.5828550460865733,0.8783557726337136,1.3230378526233477,0.5276395938024843,1.3366030410698349,-0.16265001215808852,-0.38690900532869343,-0.07837978704564799,-0.18334102314433445,1.145996401539987,-1.623035255414526,-0.0342165093966637
1790,0.5828550460865733,0.8783557726337136,1.2550864743960846,0.40341376710627996,1.2614193622251166,-0.16265001215808852,-0.38690900532869343,0.036223688192235315,-0.1039734348546383,-0.958691493827434,-1.4982683377725923,-0.29017169578474206
1316,-0.1004972070090049,-0.6453493232614318,-0.6985156496377294,0.15496211371384191,-0.6913424391970683,-0.16265001215808852,-0.628260603508007,0.660010030610812,0.7052375767579422,-0.6742742106696744,0.6268084788984757,-0.0342165093966637
2251,0.036426806598272146,-0.6453493232614318,-0.7324913387513606,1.1487687272835647,-0.6963770605482767,-0.16265001215808852,-0.628260603508007,0.644331379275336,0.6887411158198221,-0.5775723343960362,0.6990655786839123,-0.18354423833184866
2763,0.03896243647988789,-0.6453493232614318,-0.8089366392570319,0.32059654930880555,-0.7960625633022109,-0.16265001215808852,1.785255378285129,-1.393146691891984,-1.5758115207928216,2.1130151642763697,1.1155537066397203,-0.5422823790843803
2368,0.5828550460865733,0.8783557726337136,1.2805682412313084,0.5276395938024843,1.2916270903323697,-0.16265001215808852,-0.38690900532869343,-0.08024629315701416,-0.1834563830110346,1.145996401539987,-1.5458413351468547,-0.0342165093966637
2707,-0.11190754147627845,-0.6453493232614318,-0.6900217273593213,0.8589084649923968,-0.661805993936643,-0.16265001215808852,1.785255378285129,-1.763834805609307,-1.9241598649383436,-1.8005666519744024,0.7448433686100893,-0.0342165093966637
1212,-0.1486741747597139,-0.6453493232614318,-0.7239974164729529,-1.2115219799445087,-0.7531004611052297,-0.16265001215808852,-0.628260603508007,0.3613690527922236,0.39322759062296414,-0.10543964435415523,0.7120808326825315,1.1045696650503523
