nr,Laminate,smax,Ncycles,smean
663,1.0,729.31,0.0,0.0
664,1.0,845.02,0.0,0.0
665,1.0,181.98,5.833532767592629,0.0
666,1.0,-445.08,0.0,-0.0
667,1.0,-443.29,0.0,-0.0
668,1.0,351.01,3.431685344686012,0.0
669,1.0,246.09,3.55339751012388,0.0
670,1.0,328.26,3.362670929725667,0.0
671,1.0,-435.06,0.0,-0.0
672,1.0,-443.86,0.0,-0.0
673,1.0,198.7,5.65778321280759,0.0
674,1.0,812.77,0.0,0.0
675,1.0,792.76,0.0,0.0
676,1.0,811.54,0.0,0.0
677,1.0,296.51,4.335197045077562,0.0
678,1.0,867.41,0.0,0.0
679,1.0,794.02,0.0,0.0
680,1.0,799.02,0.0,0.0
681,1.0,811.34,0.0,0.0
682,1.0,-450.76,0.0,-0.0
683,1.0,177.19,5.870333077896974,0.0
684,1.0,-454.5,0.0,-0.0
685,1.0,803.27,0.0,0.0
686,1.0,159.17,6.4067937003384055,0.0
751,1.0,-505.21,0.0,-0.0
752,1.0,-587.26,0.0,-0.0
753,1.0,-553.82,0.0,-0.0
754,1.0,839.32,0.0,0.0
755,1.0,798.89,0.0,0.0
756,1.0,759.87,0.0,0.0
841,0.0,190.07,5.726824160761906,0.0
842,0.0,-384.41,0.0,-0.0
843,0.0,-400.79,0.0,-0.0
844,0.0,866.67,0.0,0.0
845,0.0,831.27,0.0,0.0
846,0.0,-396.19,0.0,-0.0
847,0.0,-498.15,0.0,-0.0
848,0.0,-508.72,0.0,-0.0
849,0.0,-502.21,0.0,-0.0
850,0.0,873.96,0.0,0.0
851,0.0,843.65,0.0,0.0
852,0.0,838.82,0.0,0.0
862,1.0,802.61,0.0,0.0
863,1.0,824.4,0.0,0.0
864,1.0,-435.64,0.0,-0.0
865,1.0,-540.02,0.0,-0.0
866,1.0,850.81,0.0,0.0
867,1.0,826.56,0.0,0.0
868,1.0,-532.39,0.0,-0.0
869,1.0,-496.07,0.0,-0.0
870,1.0,-489.63,0.0,-0.0
871,1.0,-494.41,0.0,-0.0
872,1.0,842.02,0.0,0.0
873,1.0,877.02,0.0,0.0
883,1.0,786.02,0.0,0.0
884,1.0,807.08,0.0,0.0
885,1.0,802.89,0.0,0.0
886,1.0,796.19,0.0,0.0
887,1.0,-586.4,0.0,-0.0
888,1.0,-547.63,0.0,-0.0
889,1.0,-574.24,0.0,-0.0
890,1.0,-601.17,0.0,-0.0
891,1.0,-511.47,0.3010299956639812,-2813.085
893,1.0,-397.9,5.479330527707678,-2188.45
894,1.0,-461.01,2.469822015978163,-2535.555
895,1.0,-421.4,5.0802114725318805,-2317.7
896,1.0,-440.78,3.768564109513573,-2424.29
897,1.0,267.42,3.3483048630481607,0.0
898,1.0,266.35,4.215796132589833,0.0
899,1.0,178.87,5.953092036768397,0.0
900,1.0,267.89,4.656835780078811,0.0
901,1.0,188.48,5.609812035461795,0.0
902,1.0,212.87,5.497554361304037,0.0
903,1.0,180.37,5.836186715107154,0.0
904,1.0,215.51,5.439094161184332,0.0
905,1.0,210.7,5.42838913831827,0.0
906,1.0,206.84,5.311416887321614,0.0
907,1.0,263.38,4.665233791884687,0.0
908,1.0,211.51,5.189158921951052,0.0
909,1.0,184.93,5.728460921835572,0.0
911,1.0,179.74,5.820594183681315,0.0
912,1.0,257.09,4.64423173331632,0.0
914,1.0,824.23,0.0,0.0
915,1.0,764.42,0.0,0.0
916,1.0,703.94,0.0,0.0
917,1.0,774.16,0.0,0.0
918,1.0,774.84,0.0,0.0
919,1.0,798.23,0.0,0.0
920,1.0,818.65,0.0,0.0
921,1.0,793.25,0.0,0.0
922,1.0,777.33,0.0,0.0
923,1.0,782.48,0.0,0.0
924,1.0,787.57,0.0,0.0
925,1.0,769.16,0.0,0.0
926,1.0,781.34,0.0,0.0
927,1.0,800.76,0.0,0.0
928,1.0,801.78,0.0,0.0
929,1.0,784.9,0.0,0.0
930,1.0,765.5,0.0,0.0
931,1.0,801.81,0.0,0.0
932,1.0,736.79,0.0,0.0
933,1.0,752.7,0.0,0.0
934,1.0,803.13,0.0,0.0
935,1.0,772.41,0.0,0.0
936,1.0,836.03,0.0,0.0
937,1.0,731.37,0.0,0.0
938,1.0,796.99,0.0,0.0
939,1.0,825.4,0.0,0.0
940,1.0,698.83,0.0,0.0
941,1.0,695.03,0.0,0.0
942,1.0,765.39,0.0,0.0
943,1.0,179.75,5.910061698508087,0.0
944,1.0,261.78,4.563516681843913,0.0
945,1.0,561.49,3.0751818546186915,308.8195
948,1.0,570.66,2.6434526764861874,313.863
949,1.0,556.62,2.9222062774390163,306.141
950,1.0,567.04,3.0273496077747564,311.872
951,1.0,375.19,4.713616529020051,206.3545
952,1.0,369.68,4.784774152292145,203.324
953,1.0,368.26,4.114277296561586,202.543
954,1.0,372.66,4.70008037753763,204.963
955,1.0,175.38,6.152307000294602,0.0
956,1.0,366.17,4.860607485040609,201.3935
957,1.0,558.85,2.989449817666692,307.36750000000006
958,1.0,653.87,2.305351369446624,359.62850000000003
959,1.0,-537.14,0.0,-0.0
960,1.0,-539.97,0.0,-0.0
961,1.0,-529.53,0.0,-0.0
962,1.0,-507.89,0.0,-0.0
963,1.0,-508.0,0.0,-0.0
964,1.0,-524.56,0.0,-0.0
965,1.0,-533.04,0.0,-0.0
966,1.0,-531.15,0.0,-0.0
967,1.0,-510.78,0.0,-0.0
968,1.0,-529.16,0.0,-0.0
969,1.0,-531.65,0.0,-0.0
970,1.0,-508.38,0.0,-0.0
971,1.0,-522.98,0.0,-0.0
972,1.0,-480.82,0.0,-0.0
973,1.0,-524.6,0.0,-0.0
974,1.0,-529.59,0.0,-0.0
975,1.0,-489.89,0.0,-0.0
976,1.0,-529.46,0.0,-0.0
977,1.0,-488.99,0.0,-0.0
978,1.0,-514.38,0.0,-0.0
979,1.0,-521.3,0.0,-0.0
980,1.0,-535.4,0.0,-0.0
981,1.0,-541.58,0.0,-0.0
982,1.0,-519.4,0.0,-0.0
983,1.0,-538.04,0.0,-0.0
984,1.0,-539.69,0.0,-0.0
985,1.0,801.95,0.0,0.0
1074,1.0,189.62,5.574916326017971,0.0
1075,1.0,191.24,5.502153892871361,0.0
1077,1.0,464.92,0.0,0.0
1078,1.0,300.0,4.107515225651465,0.0
1079,1.0,300.0,3.088136088700552,0.0
1080,1.0,300.0,3.3811150807098507,0.0
1081,1.0,300.0,4.206960729155711,0.0
1082,1.0,255.18,4.701403906447556,0.0
1083,1.0,362.18,3.197280558125619,0.0
1084,1.0,359.29,2.7558748556724915,0.0
1085,1.0,362.39,3.000434077479319,0.0
1086,1.0,260.21,4.547602429785681,0.0
1087,1.0,265.27,4.31722734917642,0.0
1088,1.0,207.48,5.483443221373189,0.0
1089,1.0,178.83,5.999477229228567,0.0
1091,1.0,-469.48,5.296281174399547,-2582.1400000000003
1092,1.0,-470.47,3.3027637084729817,-2587.585
1093,1.0,-452.8,3.749427099121749,-2490.4
1094,1.0,-452.77,4.203848463746235,-2490.235
1095,1.0,-419.63,5.927176273204661,-2307.965
1098,1.0,-470.44,2.671172842715084,-2587.42
