nr,smax,Ncycles,smean
846,-396.19,0.0,-198.095
847,-498.15,0.0,-249.075
848,-508.72,0.0,-254.36
849,-502.21,0.0,-251.105
850,873.96,0.0,436.98
851,843.65,0.0,421.825
852,838.82,0.0,419.41
862,802.61,0.0,401.305
863,824.4,0.0,412.2
864,-435.64,0.0,-217.82
865,-540.02,0.0,-270.01
866,850.81,0.0,425.405
867,826.56,0.0,413.28
868,-532.39,0.0,-266.195
869,-496.07,0.0,-248.035
870,-489.63,0.0,-244.815
871,-494.41,0.0,-247.205
872,842.02,0.0,421.01
873,877.02,0.0,438.51
883,786.02,0.0,393.01
884,807.08,0.0,403.54
885,802.89,0.0,401.445
886,796.19,0.0,398.095
887,-586.4,0.0,-293.2
888,-547.63,0.0,-273.815
889,-574.24,0.0,-287.12
890,-601.17,0.0,-300.585
891,-511.47,0.3010299956639812,-2813.085
893,-397.9,5.479330527707678,-2188.45
894,-461.01,2.469822015978163,-2535.555
895,-421.4,5.0802114725318805,-2317.7
896,-440.78,3.768564109513573,-2424.29
897,267.42,3.3483048630481607,0.0
898,266.35,4.215796132589833,0.0
899,178.87,5.953092036768397,0.0
900,267.89,4.656835780078811,0.0
901,188.48,5.609812035461795,0.0
902,212.87,5.497554361304037,0.0
903,180.37,5.836186715107154,0.0
904,215.51,5.439094161184332,0.0
905,210.7,5.42838913831827,0.0
906,206.84,5.311416887321614,0.0
907,263.38,4.665233791884687,0.0
908,211.51,5.189158921951052,0.0
909,184.93,5.728460921835572,0.0
911,179.74,5.820594183681315,0.0
912,257.09,4.64423173331632,0.0
914,824.23,0.0,412.115
915,764.42,0.0,382.21
916,703.94,0.0,351.97
917,774.16,0.0,387.08
918,774.84,0.0,387.42
919,798.23,0.0,399.115
920,818.65,0.0,409.325
921,793.25,0.0,396.625
922,777.33,0.0,388.665
923,782.48,0.0,391.24
924,787.57,0.0,393.785
925,769.16,0.0,384.58
926,781.34,0.0,390.67
927,800.76,0.0,400.38
928,801.78,0.0,400.89
929,784.9,0.0,392.45
930,765.5,0.0,382.75
931,801.81,0.0,400.905
932,736.79,0.0,368.395
933,752.7,0.0,376.35
934,803.13,0.0,401.565
935,772.41,0.0,386.205
936,836.03,0.0,418.015
937,731.37,0.0,365.685
938,796.99,0.0,398.495
939,825.4,0.0,412.7
940,698.83,0.0,349.415
941,695.03,0.0,347.515
942,765.39,0.0,382.695
943,179.75,5.910061698508087,0.0
944,261.78,4.563516681843913,0.0
945,561.49,3.0751818546186915,308.8195
948,570.66,2.6434526764861874,313.863
949,556.62,2.9222062774390163,306.141
950,567.04,3.0273496077747564,311.872
951,375.19,4.713616529020051,206.3545
952,369.68,4.784774152292145,203.324
953,368.26,4.114277296561586,202.543
954,372.66,4.70008037753763,204.963
955,175.38,6.152307000294602,0.0
956,366.17,4.860607485040609,201.3935
957,558.85,2.989449817666692,307.36750000000006
958,653.87,2.305351369446624,359.62850000000003
959,-537.14,0.0,-268.57
960,-539.97,0.0,-269.985
961,-529.53,0.0,-264.765
962,-507.89,0.0,-253.945
963,-508.0,0.0,-254.0
964,-524.56,0.0,-262.28
965,-533.04,0.0,-266.52
966,-531.15,0.0,-265.575
967,-510.78,0.0,-255.39
968,-529.16,0.0,-264.58
969,-531.65,0.0,-265.825
970,-508.38,0.0,-254.19
971,-522.98,0.0,-261.49
972,-480.82,0.0,-240.41
973,-524.6,0.0,-262.3
974,-529.59,0.0,-264.795
975,-489.89,0.0,-244.945
976,-529.46,0.0,-264.73
977,-488.99,0.0,-244.495
978,-514.38,0.0,-257.19
979,-521.3,0.0,-260.65
980,-535.4,0.0,-267.7
981,-541.58,0.0,-270.79
982,-519.4,0.0,-259.7
983,-538.04,0.0,-269.02
984,-539.69,0.0,-269.845
985,801.95,0.0,400.975
1074,189.62,5.574916326017971,0.0
1075,191.24,5.502153892871361,0.0
1077,464.92,0.0,0.0
1078,300.0,4.107515225651465,0.0
1079,300.0,3.088136088700552,0.0
1080,300.0,3.3811150807098507,0.0
1081,300.0,4.206960729155711,0.0
1082,255.18,4.701403906447556,0.0
1083,362.18,3.197280558125619,0.0
1084,359.29,2.7558748556724915,0.0
1085,362.39,3.000434077479319,0.0
1086,260.21,4.547602429785681,0.0
1087,265.27,4.31722734917642,0.0
1088,207.48,5.483443221373189,0.0
1089,178.83,5.999477229228567,0.0
1091,-469.48,5.296281174399547,-2582.1400000000003
1092,-470.47,3.3027637084729817,-2587.585
1093,-452.8,3.749427099121749,-2490.4
1094,-452.77,4.203848463746235,-2490.235
1095,-419.63,5.927176273204661,-2307.965
1098,-470.44,2.671172842715084,-2587.42
1099,-470.46,2.599883072073688,-2587.53
1100,-466.07,3.516403148447403,-2563.385
1107,369.74,4.89630570746608,203.35700000000003
1108,271.53,6.2581867139513845,149.3415
1109,562.82,2.9827233876685453,309.55100000000004
1110,266.19,5.543424812407923,146.4045
1111,271.18,6.262675535864857,149.14900000000003
1112,263.48,6.106642641378158,144.91400000000002
1144,179.15,6.16370241453279,0.0
1145,485.0,3.723044991643445,266.75
