nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,f,E,Temp.
963,0.024382597906986853,-0.700879321478354,-0.6127686152901979,0.2748129241476444,-0.47278827527306955,-0.17506835870388548,-0.09638976201055335,-1.3621447856152837,-1.3364338353196403,-0.7316075175871655,0.5918075256879116,0.10680535109265465
1159,-0.22914218126697006,-0.700879321478354,-0.7061348723668657,0.02667697030093318,-0.6356832079908977,-0.17506835870388548,-0.7743654093485457,0.2359983364988341,0.25278679932851433,1.4847921345919626,0.5733491454058403,0.22229264339706029
1144,0.11907257567075478,-0.700879321478354,-0.7400862385765631,0.3097070426573381,-0.582411330183366,-0.17506835870388548,-0.7743654093485457,0.24150257306796027,0.2507772328157038,1.4899226893423771,0.44542827740450636,-0.16725308008892284
1010,0.21681706884625546,1.5175160329461488,1.4667525650537678,0.18951619001283657,1.3932670976381554,-0.17506835870388548,-0.09638976201055335,-0.8153108482042687,-0.557507376181751,-0.7316075175871655,-1.3261469650166495,0.10680535109265465
1310,0.664303576665349,1.5175160329461488,1.4582647235013437,0.170130568618562,1.3747913018667564,-0.17506835870388548,-0.40147880331264985,-0.028922962719543935,-0.07987730317145263,0.053367359226275626,-1.381951370520587,-0.410512304185947
1150,0.18779917243477873,-0.700879321478354,-0.6891591892620169,0.35623253400359545,-0.523904643573938,-0.17506835870388548,2.954500651010412,-0.6439615706610359,-0.6403384740546076,1.8336698576201584,0.4012140176590789,-0.38966151354905915
1046,0.3725973548447117,1.5175160329461488,1.5176796143683138,0.17788481717627294,1.4376090074895111,-0.17506835870388548,-0.09638976201055335,-0.8031058018988149,-0.5466049003881123,-0.7316075175871655,-1.2780693233517186,0.10680535109265465
1018,0.21681706884625546,1.5175160329461488,1.4497768819489187,0.22441030852253027,1.3975781166514811,-0.17506835870388548,-0.09638976201055335,-0.788028979992078,-0.5405069054526872,-0.7316075175871655,-1.3089763787077455,0.10680535109265465
1322,0.664303576665349,1.5175160329461488,1.4582647235013437,0.14686782294543332,1.361858244826778,-0.17506835870388548,-0.7743654093485457,-0.06338426993494271,-0.10078141459781494,0.5715533890181551,-1.3772294592856382,-0.3479599322752837
1041,0.3725973548447117,1.5175160329461488,1.4922160897110412,0.11972795299344921,1.37971818073913,-0.17506835870388548,-0.09638976201055335,-0.7894648677927195,-0.5428398504848007,-0.7316075175871655,-1.3209957891239783,0.10680535109265465
1381,0.4184150860207277,1.5175160329461488,1.2885078924528566,0.1662534443397079,1.222058056823198,-0.17506835870388548,2.954500651010412,-0.7147987021593556,-0.5086079243700283,0.6690339292760333,-1.3364493168019917,0.10680535109265465
514,0.1526722451998333,-0.700879321478354,-0.765549763233836,0.2166560599648207,-0.6332197685547114,-0.17506835870388548,-0.09638976201055335,-1.4360930073483271,-1.4784893991562462,-0.7316075175871655,0.7866936802939707,-0.20200439781706914
975,-0.38492246726542634,-0.700879321478354,-0.6806713477095928,0.2980756698207731,-0.530679102023451,-0.17506835870388548,-0.09638976201055335,-1.2975298345864112,-1.2946025140012511,-0.7316075175871655,0.6690751640779795,0.10680535109265465
2712,-0.1833244500909541,-0.700879321478354,-0.6891591892620169,0.25930442703222395,-0.5506945474424656,-0.17506835870388548,2.954500651010412,-1.1761973154321947,-1.1801496166337095,0.8075589075372288,0.7429086852062661,0.31926536810512546
1924,0.21681706884625546,1.5175160329461488,1.4158255157392214,0.33296978833046675,1.4209807912952521,-0.17506835870388548,-0.40147880331264985,-0.009538477410882134,-0.06909031970613638,0.22267566598995905,-1.377658723943361,0.10680535109265465
1299,0.664303576665349,1.5175160329461488,1.4667525650537678,0.170130568618562,1.3843371296819789,-0.17506835870388548,2.954500651010412,-0.6202694219504493,-0.43961280743020037,0.5253783962644233,-1.3742246066815804,0.10680535109265465
