nr,smax,Ncycles,smean
1205,-491.53,0.0,-245.765
1275,445.5,3.531478917042255,245.025
1276,138.0,6.476063618991457,75.9
1277,187.03,5.277810845139643,102.8665
1278,212.88,4.767949491100244,117.084
1279,327.97,3.5620548296563785,180.38350000000003
1280,260.68,4.093911741049379,143.37400000000002
1281,282.08,4.046612209068446,155.144
1290,420.5,3.711807229041191,231.275
1291,352.82,3.8356905714924254,194.051
1292,260.02,4.874481817699467,143.011
1293,276.12,4.821513528404773,151.866
1294,196.35,6.318522442141257,107.9925
1472,276.3,3.854063011866421,151.96500000000003
1473,275.47,3.989271791641693,151.50850000000003
1474,-401.69,4.3979400086720375,-220.9295
1475,416.77,4.3979400086720375,229.2235
1476,398.69,4.3979400086720375,219.2795
1477,-405.9,4.3979400086720375,-223.245
1478,263.62,4.567884690783713,144.991
1479,264.18,4.3191685432293,145.299
1480,362.77,4.6020599913279625,199.5235
1481,261.64,4.454951515731092,143.90200000000002
1482,260.84,4.600864036309839,143.462
1483,368.66,4.6020599913279625,202.76300000000003
1484,-378.68,5.903089986991944,-208.27400000000003
1485,192.77,5.580869117937674,106.0235
1486,457.86,4.3979400086720375,251.82300000000004
1487,-389.54,5.903089986991944,-214.24700000000004
1488,509.53,4.3979400086720375,280.24150000000003
1489,-397.21,5.698970004336019,-218.4655
1490,409.6,5.903089986991944,225.28000000000003
1491,-371.85,5.698970004336019,-204.51750000000004
1492,447.29,5.698970004336019,246.00950000000003
1493,403.18,5.698970004336019,221.749
1494,414.03,5.903089986991944,227.7165
1495,-422.62,4.0,-232.44100000000003
1496,537.16,2.3010299956639813,295.438
1497,-377.65,2.3010299956639813,-207.7075
1498,518.36,2.3010299956639813,285.098
1499,-386.36,2.3010299956639813,-212.498
1500,516.71,2.6989700043360187,284.19050000000004
1501,-387.3,2.6989700043360187,-213.015
1502,514.59,2.6989700043360187,283.02450000000005
1503,-375.22,2.6989700043360187,-206.37100000000004
1504,-358.43,2.903089986991944,-197.1365
1505,503.46,2.903089986991944,276.903
1506,195.59,5.869570806524502,107.5745
1507,-316.12,2.903089986991944,-173.866
1508,427.43,2.903089986991944,235.08650000000003
1509,212.27,5.100580747916991,116.74850000000002
1510,196.01,5.4936880337162615,107.8055
1511,465.24,5.301029995663981,255.88200000000003
1512,-360.71,5.301029995663981,-198.3905
1513,-366.66,5.301029995663981,-201.66300000000004
1514,487.87,5.301029995663981,268.3285
1569,541.24,0.0,270.62
1570,574.83,0.0,287.415
1571,543.24,0.0,271.62
1572,556.41,0.0,278.205
1573,531.85,0.0,265.925
1574,588.96,0.0,294.48
1628,183.28,3.5563025007672877,0.0
1629,197.9,5.491374302200724,108.845
1630,194.91,5.676700009706916,107.2005
1631,200.3,5.596192298503468,110.16500000000002
1632,194.96,5.901547677692307,107.228
1633,387.47,2.812244696800369,213.1085
1634,263.57,4.580240508265376,144.9635
1635,259.47,4.600548189724083,142.70850000000002
1636,262.87,4.541204690683259,144.57850000000002
1637,-457.67,5.301029995663981,-251.71850000000003
1638,413.77,5.301029995663981,227.5735
1639,425.22,5.698970004336019,233.87100000000004
1640,-458.07,4.0,-251.9385
1641,471.44,4.0,259.29200000000003
1642,459.12,4.3979400086720375,252.516
1643,-247.73,4.3979400086720375,-136.2515
1644,-500.41,4.6020599913279625,-275.2255
1646,-490.94,2.903089986991944,-270.017
1647,526.75,2.3010299956639813,289.71250000000003
1648,380.2,4.6020599913279625,209.11
1667,234.38,3.629919035503542,0.0
1669,276.42,2.8615344108590377,0.0
1670,249.83,2.981818607170664,0.0
1673,150.14,3.66228551572213,0.0
1674,149.96,3.2605483726369795,0.0
1675,-271.48,4.873558904211726,-1493.14
1676,-294.11,3.743352951409556,-1617.605
1677,-277.86,5.942633482854105,-1528.23
1678,-297.73,4.436194462320936,-1637.515
1679,-293.64,4.731492065483537,-1615.02
1680,-339.45,3.2979792441593623,-1866.975
1681,-269.01,5.866856571153084,-1479.5549999999998
1682,-294.09,4.319647288183423,-1617.495
