nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,f,E,Temp.,tens,comp
1655,-0.9649374977173681,-0.6734739784449117,-0.8010153041041563,-1.0262306033282094,-0.8266257941488698,-0.35285950989514187,1.532549061203094,1.6879631377955315,-0.6358592926714621,0.7366210380346566,1.6327931324707483,0.5471324725909803,-0.3724759504248573
1395,0.8987978080198422,1.5569710270909394,1.4142926463089023,-0.5683774904317813,1.3763293278426987,-0.5968287804085799,-0.01725631048580636,-0.13691015059032471,-1.3745511724486266,-1.4403513818463982,0.08424920160201657,-1.4700394507143877,1.9109489598940623
1206,0.1321549162981545,-0.6734739784449117,-0.7406761770501044,0.6386898072042587,-0.7137848555262747,-0.5968287804085799,0.717749581023765,0.7615227282106125,-1.2799986118371496,0.6671383949959663,0.4275557255291167,0.5791311562888258,-1.1576759022191365
1310,1.6081627825439344,1.5569710270909394,1.509111274536699,-0.06890136727204978,1.4918975399063228,-0.35285950989514187,-0.08224284146426875,-0.18123511235279982,-0.9667932548116318,-1.518406558766486,-0.48451582566995627,-1.447138431989459,0.9052585165858339
1384,0.8987978080198422,1.5569710270909394,1.3884330204285942,0.014344653254586934,1.378374782923471,1.8428639247258003,-1.2951876506762026,-0.9498185839393068,-0.2576490502255539,-1.4326812199525167,0.08424920160201657,-1.4894896310013135,1.9109489598940623
1790,1.5773208271298464,0.813489358578989,1.2849945169073618,0.388951745624393,1.2921247603509134,-0.35285950989514187,0.024285712481438532,-0.10675131671713885,-0.9845218599262837,-1.5030662349787232,-0.1587759859560017,-1.3887878911286815,1.182854459139367
3743,0.11893693540640074,-0.6734739784449117,-0.7061966758763601,1.0549199098373832,-0.6691257529294168,-0.5968287804085799,0.517442995033188,0.5385719588683311,0.02009909657066008,0.6003628679198219,-4.800568701879854,0.6459519369519744,-0.3685102941026636
2598,-0.3128504403908747,-0.6734739784449117,-0.8527345558647725,0.4721977661510149,-0.8368530695527303,1.8428639247258003,-1.7562629748968124,-1.9017904962244059,1.1429107538319498,1.0894484851532031,-0.05294103803395837,0.9668799116862501,-0.02429132533628287
2253,-0.2643845104544462,-0.6734739784449117,-0.7234364264632323,1.429527002207189,-0.6813984834140494,-0.5968287804085799,0.3825342471791648,0.399819674854005,0.8237958617682147,0.699172600552765,-0.05294103803395837,0.9041373946316508,0.1787502783600158
1382,0.8987978080198422,1.5569710270909394,1.2936143922007983,0.09759067378120885,1.2904202144502694,-0.5968287804085799,-0.022191996382904776,-0.13691015059032471,-1.3745511724486266,-1.3807948306703777,0.08424920160201657,-1.4778822653462127,1.2145797097169135
1302,1.6081627825439344,1.5569710270909394,1.4746317733629548,-0.5267544801684777,1.4393975261665055,-0.5968287804085799,-0.22003073942493265,-0.26647542343448266,0.19738514771717944,-1.462459495540527,-0.38679387375576996,-1.4543538214507379,1.814186945632545
3051,0.3656725787191295,-0.6734739784449117,-0.8096351793975927,-0.4851314699051594,-0.819807610546296,-0.35285950989514187,0.7654612113623829,0.8508626923490811,1.7870500729976377,0.8620507442993061,0.1832508457436505,0.7384971496075085,-1.5463102217940827
1326,-1.0398393894373041,-0.6734739784449117,-0.6286177982354361,0.30570572509777105,-0.6121939198479261,-0.5968287804085799,1.0188264207467679,1.0351847174071391,-1.1499888409963686,0.6490909552456567,0.08424920160201657,0.5737980423391853,-0.9173571290942206
2279,-0.9649374977173681,-0.6734739784449117,-0.8096351793975927,-1.3592146854347118,-0.8484439816771058,-0.5968287804085799,0.19251034014087604,0.23213980576903742,2.9098617302589274,0.783093195391703,1.1441833728998165,0.5844642702384668,-0.3724759504248573
1297,1.6081627825439344,1.5569710270909394,1.4918715239498266,0.09759067378120885,1.4861020838441357,1.8428639247258003,-1.0488146629793738,-0.7838029304516484,0.02009909657066008,-1.5454777183919497,0.08424920160201657,-1.447138431989459,0.9615708363609793
1664,-0.9429075295644472,-0.6734739784449117,-0.8354948052779005,-0.9846075930649058,-0.8648076223232828,-0.5968287804085799,1.2981039810909194,1.4556224041614587,-1.3863702425250612,0.7912145432793425,1.2378335768175783,0.5471324725909803,-0.3724759504248573
1303,1.6081627825439344,1.5569710270909394,1.552210651003879,0.13921368404451243,1.5491702821679423,-0.5968287804085799,-0.10609865663357772,-0.19747136208264418,-0.8072358087797642,-1.5066757229287848,-0.18320647393454836,-1.447138431989459,0.9449150798077672
955,-1.7359863830696425,-0.6734739784449117,-0.6199979229419998,0.43057475588769656,-0.6053757362453523,-0.5968287804085799,0.3825342471791648,0.38451700948362666,0.6819670208509995,0.5827666141632702,0.4356992215219651,0.35451294523336035,-0.9173571290942206
1163,-0.9693434913479517,-0.6734739784449117,-0.611378047648564,-1.3592146854347118,-0.6503757480223391,-0.5968287804085799,0.7058216734391105,0.7280354631428085,-0.689045108015418,0.6111913317700072,0.5154376197852772,0.5737980423391853,-0.3550270626072062
906,-1.198455160138343,-0.6734739784449117,-0.6027581723551277,-0.5683774904317813,-0.6135575565684411,-0.5968287804085799,0.505926394606625,0.5122151136088525,-0.0212676486968613,0.5322337828624041,0.01223742989382454,0.5737980423391853,-0.9173571290942206
1388,0.8987978080198422,1.5569710270909394,1.3108541427876699,0.014344653254586934,1.3040565816554173,-0.5968287804085799,-0.021369382066721725,-0.13686955996600011,-1.3745511724486266,-1.4836652372471404,0.08424920160201657,-1.4778822653462127,1.2145797097169135
1087,-1.0398393894373041,-0.6734739784449117,-0.6889569252894882,-0.31863942885191554,-0.6970803056999693,-0.5968287804085799,0.711579973652392,0.7493861315375538,-0.689045108015418,0.5164422730808838,0.02038092588667323,0.661951278800897,-0.3550270626072062
1650,-0.9649374977173681,-0.6734739784449117,-0.7751556782238485,-1.3592146854347118,-0.8177621554655238,-0.35285950989514187,1.1397507252256789,1.2554700356168023,0.10874212214391976,0.7772277774728527,1.7956630523277255,0.5399170831297012,-0.3724759504248573
2247,-0.2643845104544462,-0.6734739784449117,-0.7665358029304122,1.0132968995740648,-0.7427621358372128,-0.5968287804085799,1.3285407107896932,1.4161277266936123,-1.6286611790919712,0.7379745960159299,-0.05294103803395837,1.685909157131958,-0.09170748281356902
1160,-0.9693434913479517,-0.6734739784449117,-0.6630972994091802,-2.1084288701743237,-0.724353040110264,-0.5968287804085799,0.8362060425541269,0.8902355979439538,-0.972702789849849,0.5859249161195748,0.5154376197852772,0.661951278800897,-0.3550270626072062
