nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean
712,6.7,25.3,169.51,150.0,0.0,-458.05,0.0,-229.025
715,6.7,25.3,169.51,150.0,0.0,-470.29,0.0,-235.145
718,6.7,25.3,169.51,150.0,-1.0,117.99,4.1924559385119755,0.0
723,6.7,25.3,169.51,150.0,0.0,547.35,0.0,273.675
725,6.7,25.3,169.51,150.0,0.0,-469.5,0.0,-234.75
728,6.6,25.4,167.64,150.0,0.0,534.53,0.0,267.265
730,6.5,25.3,164.45,150.0,0.0,549.35,0.0,274.675
733,6.6,25.2,166.32,150.0,0.0,-473.54,0.0,-236.77
736,6.6,25.2,166.32,150.0,0.0,-480.96,0.0,-240.48
739,6.6,25.1,165.66,150.0,0.0,-465.01,0.0,-232.505
744,6.6,25.3,166.98,150.0,0.0,-472.22,0.0,-236.11
745,6.75,25.3,170.78,150.0,0.0,-463.64,0.0,-231.82
747,6.5,25.3,164.45,150.0,0.0,-484.02,0.0,-242.01
749,6.6,29.53,194.9,150.0,0.0,-393.7,0.0,-196.85
827,6.65,25.29,168.18,150.0,-1.0,134.98,5.8047192407349115,0.0
828,6.59,25.32,166.86,150.0,-1.0,224.98,3.915610862661467,0.0
829,6.58,25.28,166.34,150.0,-1.0,250.03,3.316808752053022,0.0
830,6.66,25.24,168.1,150.0,-1.0,150.0,5.682315690791863,0.0
831,6.58,25.05,164.83,150.0,-1.0,134.99,5.816593896764794,0.0
832,6.57,25.28,166.09,150.0,-1.0,134.99,5.866397228273814,0.0
833,6.6,25.09,165.59,150.0,-1.0,175.0,5.041001644129642,0.0
834,6.67,25.31,168.82,150.0,-1.0,124.39,6.321900695279774,0.0
835,6.75,25.18,169.97,150.0,-1.0,184.98,4.756164288860081,0.0
836,6.68,25.34,169.27,150.0,-1.0,250.01,3.4163075870598827,0.0
837,6.62,25.28,167.35,150.0,-1.0,200.0,4.211947743679434,0.0
838,6.68,25.34,169.27,150.0,-1.0,185.03,4.774283332755715,0.0
