nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,E,Temp.
912,50.29,0.0,3.92,24.81,97.24,145.0,-1.0,25.0,257.09,4.64423173331632,2.0,37.849999999999994,30.14727272727273
943,49.49,0.0,3.79,24.98,94.57,145.0,-1.0,17.0,179.75,5.910061698508087,4.33,38.35,30.14727272727273
944,49.49,0.0,3.84,24.86,95.5,145.0,-1.0,25.0,261.78,4.563516681843913,2.0,38.475,30.0
946,49.49,0.0,3.85,24.89,95.88,145.0,-1.0,17.0,177.31,5.579934430609295,4.32,38.725,30.14727272727273
947,51.2,0.0,3.99,25.13,100.34,145.0,-1.0,17.0,169.42,6.203622974061246,4.32,36.56,30.14727272727273
955,49.07,0.0,3.85,25.2,96.93,145.0,-1.0,17.0,175.38,6.152307000294602,4.32,37.735,34.3
1075,52.55,0.0,3.78,24.9,94.12,145.0,-1.0,18.0,191.24,5.502153892871361,5.0,35.875,27.504166666666663
1078,49.45,0.0,3.88,25.31,98.19,145.0,-1.0,29.46,300.0,4.107515225651465,1.5,37.349999999999994,30.4
1079,49.45,0.0,3.84,25.19,96.65,145.0,-1.0,28.99,300.0,3.0881360887005513,2.0,36.04,30.4
1080,49.45,0.0,3.85,25.28,97.43,145.0,-1.0,29.23,300.0,3.3811150807098507,1.75,32.655,32.0
1081,49.45,0.0,3.71,25.07,93.08,145.0,-1.0,27.92,300.0,4.2069607291557105,1.5,38.129999999999995,29.3
1082,49.45,0.0,3.88,25.25,97.97,145.0,-1.0,25.0,255.18,4.701403906447556,2.0,36.24,29.8
1083,49.45,0.0,3.83,25.21,96.64,145.0,-1.0,35.0,362.18,3.197280558125619,1.02,35.349999999999994,28.1
1777,56.66,90.0,6.31,25.09,158.3,145.0,0.1,7.6,48.0,2.9222062774390163,1.34,15.02,30.14727272727273
1778,0.0,0.0,6.35,25.17,159.89,145.0,10.0,-77.56,-485.1,1.9030899869919435,0.5,41.43,30.14727272727273
1779,0.0,0.0,6.25,25.34,158.48,145.0,10.0,-80.0,-504.79,2.942008053022313,2.0,41.02,30.14727272727273
1789,53.73,90.0,6.3,25.37,159.89,145.0,0.1,5.04,31.5,4.956869269489412,3.1,14.43,30.14727272727273
1790,56.59,60.0,6.06,25.19,152.59,145.0,0.1,8.29,54.35,3.598133645813238,1.5,14.62,27.0
1791,56.59,60.0,6.14,25.21,154.71,145.0,0.1,8.41,54.35,3.3830969299490943,2.0,13.93,27.3
1792,56.59,60.0,6.07,25.2,152.86,145.0,0.1,8.31,54.35,3.5990092398233435,2.0,14.49,30.14727272727273
1793,56.59,60.0,6.05,25.19,152.5,145.0,0.1,8.29,54.35,3.5692568333286103,1.0,13.55,30.14727272727273
1794,56.59,60.0,6.05,25.19,152.5,145.0,0.1,8.29,54.35,3.3725438007590705,2.0,13.87,30.14727272727273
1795,56.59,10.0,6.21,25.23,156.76,145.0,0.1,44.35,282.92,3.0770043267933502,1.5,36.4,30.14727272727273
1796,56.59,10.0,6.13,25.19,154.35,145.0,0.1,43.69,283.03,3.1341771075767664,1.5,36.31,30.14727272727273
1797,56.59,10.0,6.15,25.23,155.23,145.0,0.1,43.92,282.92,3.185542154854375,1.5,36.66,31.8
1798,56.59,10.0,6.08,25.09,152.46,145.0,0.1,43.13,282.92,3.070037866607755,1.5,36.2,30.14727272727273
1799,56.59,10.0,6.17,25.11,154.85,145.0,0.1,43.81,282.92,3.0141003215196207,1.5,36.71,34.2
1802,53.73,90.0,6.39,25.5,163.03,145.0,0.1,5.07,31.1,5.192034711788002,3.1,13.88,30.14727272727273
1920,56.59,60.0,6.06,25.18,152.67,145.0,0.1,5.14,33.67,5.7553968688013954,5.2,13.06,30.14727272727273
1921,56.59,60.0,6.13,25.16,154.31,145.0,0.1,5.2,33.7,5.5449741534889725,5.2,14.15,30.14727272727273
1922,53.73,90.0,6.25,25.48,159.23,145.0,0.1,6.48,40.67,3.911956189072687,1.86,14.26,30.14727272727273
1923,53.73,90.0,6.28,25.55,160.39,145.0,0.1,6.52,40.67,3.946746935033585,1.86,14.08,30.14727272727273
1924,53.73,90.0,6.27,25.5,159.95,145.0,0.1,6.51,40.67,3.9928185200666797,1.86,14.5,30.14727272727273
1925,53.73,90.0,6.23,25.5,158.97,145.0,-1.0,2.81,17.69,6.7022992804033725,5.89,14.785,30.14727272727273
1926,56.66,90.0,6.32,25.18,159.05,145.0,-1.0,5.67,35.65,3.699837725867246,1.45,15.465,30.14727272727273
1927,56.66,90.0,6.38,25.13,160.41,145.0,-1.0,5.72,35.65,3.530071568837378,1.45,14.92,30.14727272727273
1928,56.66,90.0,6.33,25.03,158.54,145.0,-1.0,5.65,35.65,3.91301868374796,1.45,15.275,30.14727272727273
1929,0.0,0.0,6.37,25.04,159.48,145.0,10.0,-71.77,-450.02,4.105782597814442,0.67,42.35,30.14727272727273
1930,0.0,0.0,6.34,25.3,160.47,145.0,10.0,-68.52,-427.0,6.140764710008936,0.74,41.22,29.9
2213,52.41,0.0,3.76,25.47,95.73,145.0,-1.0,24.7,257.92,4.274827255438105,2.17,38.775000000000006,28.31111111111111
2214,52.28,0.0,3.76,25.23,94.79,145.0,-1.0,16.89,178.04,6.140644092283868,2.28,39.400000000000006,28.31111111111111
2215,52.41,0.0,3.78,25.36,95.62,145.0,-1.0,24.58,256.75,4.668665415454492,2.17,37.625,28.31111111111111
2217,52.28,0.0,3.79,25.34,95.81,145.0,-1.0,24.51,255.26,4.8477823530039865,2.17,39.6,28.31111111111111
2244,52.41,0.0,3.64,25.38,92.09,145.0,-1.0,17.0,184.05,5.992979650690281,4.56,39.575,28.31111111111111
2245,53.4,0.0,3.65,25.38,92.29,145.0,-1.0,24.66,266.62,4.891258616904139,2.17,40.25,28.31111111111111
2247,52.41,0.0,3.68,25.34,92.9,145.0,-1.0,40.0,429.53,1.505149978319906,0.41,39.455,28.31111111111111
2248,52.41,0.0,3.68,25.49,93.6,145.0,-1.0,24.7,263.73,4.282191456275556,2.17,39.625,28.31111111111111
2250,52.41,0.0,3.71,25.3,93.55,145.0,-1.0,40.0,426.73,2.823474229170301,0.41,39.825,28.31111111111111
2251,52.28,0.0,3.72,25.37,94.26,145.0,-1.0,24.58,260.5,4.833344763389635,2.17,39.1,28.31111111111111
2252,52.41,0.0,3.72,25.33,94.19,145.0,-1.0,17.0,180.41,5.019386341792188,2.28,38.775000000000006,28.31111111111111
2253,52.41,0.0,3.73,25.44,94.7,145.0,-1.0,17.0,179.15,5.928097172117339,4.56,39.025,28.31111111111111
2254,52.41,0.0,3.75,25.29,94.67,145.0,-1.0,16.9,178.47,5.999621564673743,2.28,38.425,28.31111111111111
2279,50.82,0.0,3.63,24.77,89.8,145.0,-1.0,12.38,137.84,7.29786122948452,8.09,39.955,43.0
2367,56.59,60.0,6.14,25.22,154.83,145.0,0.1,5.22,33.71,5.628742353007628,5.2,13.23,30.14727272727273
2368,56.59,60.0,6.09,25.22,153.49,145.0,0.1,5.17,33.68,6.012196695282973,5.2,14.09,30.14727272727273
2597,53.84,0.0,3.58,24.92,89.14,145.0,10.0,-35.0,-392.4,4.962170376600235,5.1,43.85,28.31111111111111
2598,52.3,0.0,3.58,25.21,90.14,145.0,10.0,-35.0,-387.88,5.88349563358854,5.1,43.35,28.31111111111111
2599,54.31,0.0,3.64,25.01,90.88,145.0,10.0,-4.3,-473.08,5.69320970751774,4.2,43.55,28.31111111111111
2600,54.31,0.0,3.61,24.93,89.8,145.0,10.0,-35.0,-389.52,5.9627991549544275,5.1,43.61,22.7
2677,56.66,90.0,6.32,25.11,158.67,145.0,-1.0,2.38,15.0,5.652025752381707,5.0,15.385,23.5
2679,54.75,90.0,6.3,25.12,158.26,145.0,0.1,3.17,20.0,6.129639307477761,8.2,14.4,30.14727272727273
2685,53.73,90.0,6.32,25.5,161.05,145.0,0.1,3.36,20.89,5.880813592280791,7.04,14.25,30.14727272727273
2706,51.11,0.0,3.81,25.34,96.47,145.0,10.0,-40.42,-418.99,4.797848981363836,4.17,39.55,30.14727272727273
