nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean,smin
1073,6.75,25.13,169.73,150.0,-1.0,117.83,6.434524993364955,0.0,-117.83
1667,6.6,25.23,166.52,150.0,-1.0,234.38,3.629919035503542,0.0,-234.38
1669,6.61,25.22,166.7,150.0,-1.0,276.42,2.8615344108590377,0.0,-276.42
1670,6.57,25.29,166.16,150.0,-1.0,249.83,2.9818186071706636,0.0,-249.83
1673,6.65,25.04,166.52,150.0,-1.0,150.14,3.66228551572213,0.0,-150.14
1674,6.6,25.26,166.72,150.0,-1.0,149.96,3.2605483726369795,0.0,-149.96
1675,6.52,25.35,165.28,150.0,10.0,-27.148000000000003,4.873558904211726,-149.31400000000002,-271.48
1676,6.63,25.38,168.27,150.0,10.0,-29.411,3.743352951409556,-161.7605,-294.11
1677,6.37,25.04,159.5,150.0,10.0,-27.786,5.942633482854105,-152.823,-277.86
1678,6.55,25.07,164.21,150.0,10.0,-29.773000000000003,4.436194462320936,-163.75150000000002,-297.73
1679,6.64,25.3,167.99,150.0,10.0,-29.363999999999997,4.731492065483537,-161.50199999999998,-293.64
1680,6.57,25.15,165.24,150.0,10.0,-33.945,3.2979792441593623,-186.6975,-339.45
1681,6.58,25.23,166.01,150.0,10.0,-26.901,5.866856571153084,-147.9555,-269.01
1682,6.63,25.32,167.87,150.0,10.0,-29.409,4.319647288183423,-161.74949999999998,-294.09
1683,6.6,25.32,167.11,150.0,10.0,-33.714,3.187520720836463,-185.427,-337.14
1684,6.64,25.28,167.86,150.0,10.0,-26.498,6.676219009391319,-145.739,-264.98
1685,6.59,25.19,166.0,150.0,10.0,-32.5,3.362293937964231,-178.75,-325.0
1686,6.66,25.33,168.7,150.0,10.0,-27.499000000000002,5.3637454438336505,-151.24450000000002,-274.99
1687,6.58,25.3,166.47,150.0,10.0,-29.999000000000002,4.223833277236323,-164.99450000000002,-299.99
1688,6.65,25.15,167.25,150.0,10.0,-29.997000000000003,3.6238692683503024,-164.98350000000002,-299.97
1689,6.65,25.19,167.51,150.0,10.0,-35.0,2.962369335670021,-192.5,-350.0
1690,6.62,25.21,166.89,150.0,10.0,-24.997999999999998,7.007485970552654,-137.48899999999998,-249.97999999999996
2142,6.29,25.14,157.94,150.0,10.0,-33.523,4.439506376888728,-184.37650000000002,-335.23
2143,6.38,25.21,160.52,150.0,10.0,-27.508,6.068555040694015,-151.29399999999998,-275.08
2144,6.38,25.06,159.69,150.0,-0.4,317.73,2.938519725176492,95.319,-127.09200000000001
2145,6.45,25.06,161.38,150.0,10.0,-32.698,5.185034756724982,-179.839,-326.98
2146,6.46,25.22,162.6,150.0,10.0,-27.156,6.155222134116443,-149.358,-271.56
2147,6.49,25.04,162.32,150.0,10.0,-27.083999999999996,6.1419468109259,-148.962,-270.84
2148,6.57,25.33,166.22,150.0,10.0,-26.692,6.324799595776807,-146.806,-266.92
2149,6.59,25.4,167.25,150.0,10.0,-26.824,4.8823024958187755,-147.532,-268.24
2150,6.64,25.31,167.93,150.0,10.0,-29.335,4.996607976784119,-161.3425,-293.35
2151,6.67,25.26,168.22,150.0,10.0,-31.582,3.6214878645806303,-173.701,-315.82
2152,6.69,25.38,169.52,150.0,10.0,-29.395,5.337932234876929,-161.67249999999999,-293.95
2153,6.69,25.1,167.79,150.0,10.0,-31.502999999999997,3.723291446477584,-173.26649999999998,-315.03
2154,6.75,25.19,169.76,150.0,10.0,-28.824,4.881555829793312,-158.532,-288.24
2155,6.8,25.16,170.88,150.0,10.0,-28.639999999999997,4.316389751073196,-157.51999999999998,-286.4
2156,6.44,24.68,158.61,150.0,-1.0,239.5,3.390758528738717,0.0,-239.5
2157,6.43,24.8,159.28,150.0,-1.0,137.76,6.062704171113168,0.0,-137.76
